,source_article,updated_label
1053,"Person A: I think pollution from humans contributes to climate change.
Person B: So, you think humans are directly responsible for extreme weather, like hurricanes, typhoons and droughts.",fallacy of extension
1054,"It is ridiculous to have spent thousands of dollars to rescue those two whales trapped in the Arctic ice. Why, look at all the people trapped in jobs they don’t like.",fallacy of logic
1055,"Your mom thinks you spend too much time playing video games. You bring up that
she spends too much time shopping.",fallacy of red herring
1056,"There are no good restaurants in New York; I tried two in Times Square, and they were awful.",faulty generalization
1057,"The fallacy of equivocation occurs when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",equivocation
1058,UltraEdit blows it away and can (if you want) emulate other editors.,fallacy of red herring
1059,you are also religious in some form just not accepting it,ad hominem
1060,"My cat sleeps all day, so cats must be pretty lazy.",faulty generalization
1061,"Kirk drew a picture of a fish and a human and with effusive disdain asked Richard if he really thought we were stupid enough to believe that a fish somehow turned into a human through just, like, random things happening over time.",intentional
1062,Communism has directly lead to more innocent deaths than Fascism. Therefore we should embrace Fascism whenever it will save us from Communism. Banning Fascism might cause far greater harm.,circular reasoning
1063,"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don’t think you get to reference something you clearly don’t have.
",intentional
1064,"""It rained and then we lost the game. Every time it rains, we're going to lose.""",false causality
1065,", or a group of people think, in order to persuade one to think the same way.",ad populum
1066,"Exercise is good. Therefore everybody should exercise.'
""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'",faulty generalization
1067,"People have obviously refused to vote for libertarian parties. Therefore the people has choosen to pay taxes, If you aren't like most people in the democracy you are free to move as soon as possible. You are de facto free to choose where to live on this planet.",fallacy of red herring
1068,"Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake!",intentional
1069,We should ban all hairspray or the world will end!,false dilemma
1070,"I was bullied a bit growing up, and learned to adapt and deal with things, whether through violence, or other means. It made me stronger in the end",false causality
1071,"Look, you are going to have to make up your mind. Either you decide that you can afford this stereo, or you decide you are going to do without music for a while.",false dilemma
1072,"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw.",false causality
1073,"Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.",ad hominem
1074,"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",faulty generalization
1075,"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history.",ad hominem
1076,“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”,faulty generalization
1077,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?

Ken: But what is morality exactly?

Mike: It’s a code of conduct shared by cultures.

Ken: But who creates this code?...",fallacy of red herring
1078,"""Don't listen to Eddie's arguments on education. He didn't even finish high school"" is an example of",ad hominem
1079,If you don't have a recycling bin you hate the earth and don't care about pollution.,fallacy of extension
1080,It is easier to develop for Android in the first place,ad populum
1081,Richardson is the most successful mayor the town has ever had because he's the best mayor of our history.,circular reasoning
1082,You want me to clean my locker? I think I left my homework in Science class. I need to keep up with my homework to get good grades.,fallacy of red herring
1083,"It's ""polygamy"".",fallacy of red herring
1084,"Hollywood and organized Jewry sprung into action to fabricate slanderous calumnus claims against the German people in order to poison the well against white pride, convert white people into pliable guilt-servants and cement themselves as people above criticism or the normal rules of life.",false causality
1085,"company's slogan ""Expect More. Pay Less.""",appeal to emotion
1086,"The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue.",ad hominem
1087,The house is white; therefore it must be big,fallacy of logic
1088,Potatoes are delicious.,fallacy of red herring
1089,"Discrimination is immoral when it results in the inferior candidate being selected.
Positive discrimination on a
variable that predicts performance is needed for the best candidate to be selected.
Best individually does not mean best for the team.",circular reasoning
1090,"So many people are speaking up about animal rights, but what they should first focus on is human rights.",fallacy of red herring
1091,"""Some tall people recently vandalized the park, tall people are irresponsible.""",faulty generalization
1092,Can't argue with that.,ad populum
1093,"A is true because B is true, and B is true because A is true.",circular reasoning
1094,"J: Cats are better than dogs.
V: Dogs are better.
J: You are a lazy person. You won't even be able to take care of a dog.",ad hominem
1095,"Capitalism in the broader sense, being defined as any economic system that upholds private property, can be said to date back to the dawn of civilization and therefore the start of human problems.",slothful induction
1096,Bush did 9/11,circular reasoning
1097,My neighbor’s child was kidnapped while playing alone in her yard. My city must be a dangerous place for children.,faulty generalization
1098,"""There is ... a radical element, a homosexual agenda that wants to redefine what marriage is. They want to say that a marriage not only is one man and one woman but it is two men or it is two women. What logical reason is there to keep us from stopping expansion of that definition to include three people or an adult and a child, or any other odd combination that we want to have?  ... and it does not even have to be limited to human beings by the way. I mean it could be anything. ... There is no reason why we cannot just completely erase whatever boundaries that currently exist on the definition of marriage and say it is a free-for-all, anything goes.""",faulty generalization
1099,"If we legalize marijuana, then more people will try heroin",faulty generalization
1100,"If you write to Mrs. Roth and tell her: ""Mrs Roth, I know I haven't done any of the assignments, but I need a C anyway because I'm asking nicely and I'm good person, and I'm going to get in trouble if you don't.""",appeal to emotion
1101,If you don't say the Pledge of Allegiance you are a traitor.,false dilemma
1102,This legislation is sinful because it is the wrong thing to do.,circular reasoning
1103,This dress code is so bad I feel like I'm in prison.,fallacy of red herring
1104,"Disadvantaged groups suffer or have suffered from discrimination within a culture which created inequalities in employment, pay and access to education.",appeal to emotion
1105,"A major wrong has been committed by the local government and several people go to protest it, waving signs and blocking traffic. “Both sides are just as bad,” rants your uncle. What fallacy has he committed?",faulty generalization
1106,A real video game would include set goals!,intentional
1107,"You should choose to work more overtime at the same rate of pay. After all, you wouldn’t want to lose your job, would you?",appeal to emotion
1108,"My opponent is an untrustworthy liar and an idiot. Therefore, you should believe me.",ad hominem
1109,You can not override builtin data structures.,circular reasoning
1110,"Asians make lousy athletes, but do well at the Math Olympiad.",faulty generalization
1111,"If every human was polled ""Is the taking of a life immoral?"", almost all of them would say that it is immoral.",ad populum
1112,War on drugs instills fear to criminals so it can stop the crimes in the Philippines.,faulty generalization
1113,"This is one of the worst things about this board...it's full of utterly shite people, if he even holds these views at all. If he does, I literally wouldn't care if he died. Scum.",fallacy of red herring
1114,"Agreed, but in order to proof an argument you need evidence, however in many cases it needs faith instead of evidence, for example ""Mosses parted the red sea"".",fallacy of red herring
1115,"Ashley: It is morally wrong to cheat on your spouse; why on earth would you have done that?
Hannah: But what is morality exactly?
Ashley: It’s a code of conduct shared by cultures.
Hannah: But who creates this code?...
Hannah has committed what fallacy?",fallacy of red herring
1116,"A teacher tells Billy to stop talking, and he yells back: “Sarah was talking too!”",fallacy of red herring
1117,"“Grading this exam on a curve would be the most fair thing to do. After all, classes go more smoothly when the students and the professor are getting along well.”",fallacy of red herring
1118,Mr. Casal is a bad teacher because he stinks.,ad hominem
1119,First they respect them. Then we're giving them money.,fallacy of slippery slope
1120,"dude, we have george in the chat, how low can the quality go from there ?",fallacy of red herring
1121,"“Your coach’s policy is that no one can be a starter on game day if they miss practice. So, if you miss basketball practice today, you won’t be a starter in Friday’s game. Then you won’t be the first freshman to start on the Varsity basketball team at our school.”'",faulty generalization
1122,How does one know that anything in the Bible is trustworthy?,fallacy of red herring
1123,Appeals to an authority that has little to nothing to do with the argument,fallacy of credibility
1124,"Willard: I just realized that I will probably never go bald!
Fanny: Why is that?
Willard:  Well, if I lose just one hair, I will not be bald, correct?
Fanny: Of course.
Willard: If I lose two hairs?
Fanny: No.
Willard: Every time I lose a hair, the loss of that one hair will not make me bald; therefore, I will never go bald.
Fanny: Congratulations, you found the cure to baldness -- stupidity!
",equivocation
1125,"This argument is so absurd I almost regret dignifying it with a""but"" response. At best, the the original poster should rephrase the argument for hirself:
""I should find a full time job that adequately supports the lifestyle I wish to lead.""",prejudicial language
1126,"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important!",false causality
1127,Abraham believed slavery was morally wrong,fallacy of credibility
1128,You have a friend who claims that cats like to go to windows and watch sunsets because that is what her cats does. What fallacy has she committed?,faulty generalization
1129,You said that 'runs' occur to statistically independent phenomena such as roulette wheel spins.,false causality
1130,That's why you use tabs. Agree?,prejudicial language
1131,"it is false that the absence of capitalism cannot be tested, or has never been tested. assuming that we can never remove it, invalidates this objection.",slothful induction
1132,Poorer defendants can't afford good lawyers,fallacy of red herring
1133,We should not lie to our children!,circular reasoning
1134,"The first time I went to Six Flags was great, so every time I go there will be great.",faulty generalization
1135,If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.,faulty generalization
1136,"“He’s not a great athlete; he’s a fraud, a cheat and a liar. That’s why not everybody is ‘happy for Lance.'”",ad hominem
1137,"If you are not with us, you are against us.",false dilemma
1138,"A world order that promoted worldwide/universal togetherness could be nothing but beneficial for all of humanity, but one that encouraged slaughter and *total* anarchy would be destructive.",circular reasoning
1139,"Do you really believe that Germany would vilify itself amongst the nations for all time by engaging in a planned genocide through an assembly line of death? They would be the pariahs for all history. It is absurd. It reads like bad fiction - because it was, it was written to shock and be calumnious.",ad populum
1140,The accident was caused by the taxi parking in the street,false causality
1141,Beyond Meat burgers are healthy for us because they do not have any meat in them.,fallacy of credibility
1142,"One must believe that with inferences made from the observable geological record, you may use the argument: you weren't there. One must believe that a criminal to be convicted, you must have been caught in the act. One must believe have any source to back your multiple claims.",fallacy of credibility
1143,"Fred, the Australian, stole my wallet. Thus, all Australians are thieves.",faulty generalization
1144,"This is incorrect. Again, rights are either protected by the state of they are not. Human and civil rights exist outside of states. If you are born in a country under an oppressive regime, you still have human rights even if the political forces are infringing on them.",circular reasoning
1145,"All hotdogs are fast food.
No hamburgers are hotdogs.
Therefore, no hamburgers are fast food.",fallacy of logic
1146,"That candidate wants to raise the minimum wage, but they aren't even smart enough to run a business.",ad hominem
1147,"Again, the user ""mmbop"" is abusing the notion of a ""logical fallacy"". This could be evidence of a deeper issue with the Arguman product itself.",fallacy of red herring
1148,"“Birds can fly; therefore, penguins can fly.”",faulty generalization
1149,Have you accepted the fact that most environmental studies don’t support global warming?,intentional
1150,Vi is coming as builtin in linux systems,false causality
1151,"After surgery, my wife was not doing too well -- she was in a lot of pain.  I bought these magnetic wristbands that align with the body's natural vibrations to reduce the pain, and sure enough, a few days later the pain subsided!  Thank you magic wristbands!",false causality
1152,"In our psychology department, half of the faculty believe that a behavioral approach is the only valid approach; the other half believe that the only valid approach is psychodynamic. Obviously the most valid approach must be one that incorporates both behavioral and psychodynamic elements.",fallacy of red herring
1153,"in response to the claim that ""Eating fast food is unhealthy"": “But I saw you eat a burger and fries for lunch only a few hours ago!""",ad hominem
1154,Photo shows flying saucer,fallacy of logic
1155,"If we keep kids from enjoying recess, eventually they will never want to preserve nature.",faulty generalization
1156,"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",false causality
1157,"Humanity only recently overcame the clutches of natural selection and so nearly all of our desires exist to ensure survival. Where we stand apart from other species is instead of pleasure being the motivation to survive, we can seek pleasure for its own sake. i.e. fine dining.",fallacy of red herring
1158,"""Who are you to ask fast food restaurants to give us nutritional facts? I saw you eat Taco Bell last night!""",ad hominem
1159,"Southerners talk fast. I was just on the phone with one, and I could barely keep up!",faulty generalization
1160,A commercial about abandoned animals needing shelter or a forever home. They ask for a small donation to help these struggling animals.,appeal to emotion
1161,"""The Senator must be wrong on the issue of taxes because he's such a jerk to the people who work for him.""",ad hominem
1162,"Bert: How do eyes project an image to your brain?
Ernie: Think of it as a little guy in your brain watching the movie projected by your eyes.
Bert: Ok, but what is happening in the little guy in your head’s brain?
Ernie: Well, think of it as a little guy in his brain watching a movie...
",circular reasoning
1163,"If you don't start recycling now, our entire planet will be destroyed in ten years.",appeal to emotion
1164,"I drank bottled water and now I am sick, so the water must have made me sick.",false causality
1165,"From a historical societal standpoint, it is also undesirable. Which begs the question: From what group standpoint is homosexuality desirable? I request a group standpoint because from individual standpoints, any number of arguments can be made regarding any topic.",ad populum
1166,"Jamila is running for class president. In her campaign speech she says, ""Xavier does not deserve to win. He is a smoker and He cheated on his reading quizzes last year."" What fallacy has Jamila committed?",ad hominem
1167,The President said he will not allow disrespectful dissent.,circular reasoning
1168,"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can’t be true.
",ad hominem
1169,"The phrase, ""Almost everyone that was asked said that McDonalds is better than Burger King, so it must be true,"" represents which fallacy?",ad populum
1170,"because this acomplishments require knowledge, technology and energy sources. None of this are dependent on capitalism. The existence of this socio-economic model at the same time of the developments we had is pure coincidence and could have hapened in a collaborative environment.",slothful induction
1171,The picture on Jim's old TV set goes out of focus. Jim goes over and strikes the TV soundly on the side and the picture goes back into focus. Jim tells his friend that hitting the TV fixed it.,false causality
1172,Did your misleading claims result in you getting promoted?,intentional
1173,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.",fallacy of extension
1174,"This technique uses the logic: Everyone else is doing it, you should too!",ad populum
1175,This is an example of....,circular reasoning
1176,America has to act now to reduce illegal immigration. Recent studies show that the vast majority of Americans think that illegal immigration is a problem.,ad populum
1177,Don't be the only one not wearing Nike!,ad populum
1178,Misrepresenting someone’s argument to make it easier to attack,fallacy of extension
1179,"Which logical reason supports the opposition to the motion ""Cell phones give off an unsafe radiation and should not be used.""",false causality
1180,"""I want my daughter to go to a state university so she can avoid too much debt.""
""Why do you think state schools are better than private schools? Harvard and Princeton are private."" What is this?",fallacy of extension
1181,"Barbara believes the marketing agency's office is haunted. The cleaning crew once said they heard a other-worldly noise late at night. Since no one could prove that it wasn't a ghost, the office must be haunted.",intentional
1182,Covid-19 is like 10 people doing arts and crafts together and one of them is working with glitter. How many art projects in the group get glitter on them?,fallacy of logic
1183,"Zebedee: What is your view on the Christian God?
Mike: I don’t believe in any gods, including the Christian one.
Zebedee: So you think that we are here by accident, and all this design in nature is pure chance, and the universe just created itself?
Mike: You got all that from me stating that I just don’t believe in any gods?
",fallacy of extension
1184,We can’t freeze the academic year because then students won’t graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.,faulty generalization
1185,Being gay does not cause harm to anyone.,fallacy of red herring
1186,Your source is wikipedia. That is all.,ad hominem
1187,"But of course, but dropping bombs isn't the only way to do that.",fallacy of red herring
1188,People who buy stocks are no different from people who bet on horse racing. They both risk their money with little chance of making a big profit.,fallacy of logic
1189,The Terrible Truth About Cannabis,prejudicial language
1190," Karen is a thirty-something-year-old female who drives a mini-van, lives in the suburbs, and wears mom jeans. Is Karen more likely to be a woman or a mom?",faulty generalization
1191,This movie was #1 at the box office last weekend! That means it must be really good!,ad populum
1192,Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.,ad hominem
1193,"""If my hair looks nice, people will love me.""",fallacy of logic
1194,"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?",ad populum
1195,Dr. Bloom cannot be a competent marriage counselor because he is divorced.,ad hominem
1196,"Then what about China then. China can pollute this world more than anybody. Why would you breakdown your own people to not pollute, if China is going to continue doing what the are doing. Pollution is an earth and humanity issue, not just a country issue.",fallacy of red herring
1197,"tabs can leads to badly formatted code if different people have different conventions.
auto Var = 0u
auto LongVar = 1u
this looks 'better' as: (vertically align same col)
auto Var..........= 0u
auto LongVar..= 1u
Replacing spaces with tabs here would break the nice vertical look.",fallacy of red herring
1198,"I thought you cared about other people, but I didn't see you at the fundraiser for the Children's Hospital ...",false dilemma
1199,Every girl I've dated has been a nurse. I must only be compatible with nurses!,false causality
1200,"""Tyler's friends are all obnoxious, he's a bad kid,"" Which Fallacy does this statement use?",faulty generalization
1201,There is nothing to say that these accomplishments couldn't have been completed under a non-capitalist society and to cite this as an example of capitalism's success is a fallacy.,fallacy of red herring
1202,Think of the possibilities!,slothful induction
1203,"My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates.",false causality
1204,"I'm not a doctor, but I play one on the hit series, ""Bimbos and Studmuffins in the OR."" You can take it from me that when you need a safe and effective pain killer, there is nothing better then MorphiPill 2000. That is my professional medical opinion.",fallacy of credibility
1205,My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,fallacy of extension
1206,"Because recent polling indicates that no voters in the county are strongly in favor of the proposed amendment, we can expect strong opposition to the amendment when it is voted on next month.",false dilemma
1207,"If Jesus is not God, how come he is the center of your life?",fallacy of red herring
1208,"By rejecting God, you are rejecting goodness, kindness, and love itself.",appeal to emotion
1209,"You need to go to the party with me, otherwise you’ll just be bored at home.",false dilemma
1210,"Marriage has traditionally been between a man and a woman; therefore, gay marriage should not be allowed.",fallacy of credibility
1211,Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.,faulty generalization
1212,"At soccer practice, Willeidy tells Aida, ""Pace's soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!""",false causality
1213,"""It is an outrage that the school wants to remove the vending machines. This is taking our freedom away!""",appeal to emotion
1214,Is it enough that the software is affordably cheap.,fallacy of red herring
1215,Forty million people won't be wrong. Please buy the latest iPhone 12.,ad populum
1216,Christine has a terrible experience with a boyfriend. She decides that all boys are mean. This is an example of which logical fallacy?,faulty generalization
1217,"Transhumanism is a death cult worshiping a robotic race that can easily destroy them.
They often sell the idea of digital immortality through the mechanism of programming a robot with your memories.
This isn't impossible but optimistic transhumanists aren't skeptical enough about approaches.",fallacy of red herring
1218,"Every time that rooster crows, the sun comes up. The rooster must control the sun.",false causality
1219,"""People who don't support the proposed state minimum wage increase hate the poor.""",fallacy of extension
1220,We have no evidence that the Illuminati ever existed. They must have been so clever they destroyed all the evidence,intentional
1221,"You didn’t even finish high school, how could you possible know about this?",ad hominem
1222,Believing that taco bell is healthy for you because everyone else does.,ad populum
1223,Countries where guns are almost universally banned do not show this trend at all,false causality
1224,"""I have a right to free speech so I can say what I want and you shouldn't try to stop me"" is an example of",circular reasoning
1225,"Wife: I'd rather have a dog than a cat
Husband: Why do you hate cats?",fallacy of extension
1226,"""He just says that because he's a Republican.""",ad hominem
1227,"My neighbor told me that the position of the sun, moon, and stars decide our personalities. I believe her because she is a famous violin player.",fallacy of credibility
1228,They clutter the code.,false causality
1229,pypi is working better than rubygems,ad populum
1230,They are dangerous militants out to destroy our peaceful way of life.,appeal to emotion
1231,", that makes it right/valid.",ad populum
1232,"My mother always told me that if I went outside right after bathing, during winter, I would catch pneumonia.",faulty generalization
1233,"I would argue that he is still better then Hilary Clinton. Hilary Clinton has contradicted her self so much, and is still contraindicating her self. We currently have the lesser of two poisons.",fallacy of red herring
1234,"""Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.""",faulty generalization
1235,"You must obey the law, because it’s illegal to break the law.",circular reasoning
1236,"Its a question what most people think how the world works.Because apps should solve realworld problems.Even if some argue the world is inherently FP,most people like to think they effect things and move around in a dynamic but stateful world.Any representation of state in FP is counter FP/ unelegant",fallacy of red herring
1237,"First senator: The nation is in debt and we should not add to the defense budget.
Second senator: I cannot believe you want to leave the nation defenseless!",fallacy of extension
1238,gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.,faulty generalization
1239,"""You were late tonight. You must be cheating!""",faulty generalization
1240,Which of the following is true?,fallacy of red herring
1241,"""The BP Oil rig exploded causing many marine mammals to die."" This illustrates that the BP oil rig was bad and caused animals to die.",circular reasoning
1242,"I want to have myself a merry little Christmas, but I refuse to do as the song suggests and make the yuletide gay.  I don't think sexual preference should have anything to do with enjoying the holiday.",equivocation
1243,CSIRO: “By 2030 the LCOE ranges of both conventional coal and gas technologies as well as wind and large-scale solar converge to a common range of A$50 to A$100 per megawatt hour.” (LCOE is levelized cost of electricity),fallacy of slippery slope
1244,A computer has no ability to make independent choices and to assume that they have the same independence as a human is complete idiocy.,prejudicial language
1245,"If we don’t bail out the big automakers, the US economy will collapse.  Therefore, we need to bail out the automakers.",appeal to emotion
1246,"Same-sex marriage must be prohibited, or the family structure as we know it will  collapse.",appeal to emotion
1247,Have you stopped beating your wife?,intentional
1248,"""She teaches engineering, and she said that the proposed bridge was a waste of money. I can't believe she hates our city so much.""",fallacy of extension
1249,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.",false causality
1250,My fridge isn't working. I should probably finish that book I've been reading.,fallacy of logic
1251,"Jimmy stole Tommy’s lunch in the past.

Therefore, it is acceptable for Tommy to steal Jimmy’s lunch today.

",fallacy of red herring
1252,Intentionally using negatively charged words is an example of which technique?,ad hominem
1253,"Everybody understands that the values in New York City are socially liberal and pro-abortion and pro-gay marriage,' he said. 'And focus on money and the media.",faulty generalization
1254,"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out. A lot of people were carrying umbrellas, which most of them furled inside. I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world. People used them when it snowed. In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies.",faulty generalization
1255,Labor unions in America are just as bad as Russia under Stalin!,fallacy of red herring
1256,"Maria has been working at her current job for more than 30 years at the same wage. She desperately wants a raise so she approaches her boss to ask for one. She says, ""You are one of the kindest people I know. You are smart and good-looking and I really love your shoes.""",appeal to emotion
1257,"Animals tread softly upon the earth without shoes, so all other living beings should follow suit.",fallacy of credibility
1258,"This type of propaganda implies that since EVERYONE else is buying a product, so should you!",ad populum
1259,"I think that we should reject what Father Jones has to say about the ethical issues of abortion because he is a Catholic priest. After all, Father Jones is required to hold such views",ad hominem
1260,"All boys are sports fans.
Some bakers are boys.
Therefore, some bakers are not sports fans.",fallacy of logic
1261,"Person 1:
I am for raising the minimum wage in our state.
Person 2:
She is for raising the minimum wage, but she is not smart enough to even run a business.",ad hominem
1262,"Don't let your cousin borrow $10.00. Next, he's going to be borrowing money from you every day.",faulty generalization
1263,Americans should give money to charity because it is the right thing to do.,circular reasoning
1264,If we get rid of assault weapons for citizens then we will also soon lose freedom of speech and all freedoms as other countries rush in to conquer us (if the zombies don’t exterminate us first!),faulty generalization
1265,"Oh please, what do you know about labor laws? You don't even have a job.",ad hominem
1266,"The solar system reminds me of an atom, with planets orbiting the sun like electrons orbiting the nucleus. We know that electrons can jump from orbit to orbit; so we must look to ancient records for sightings of planets jumping from orbit to orbit also.",fallacy of logic
1267,"Tasha is studying polar and tropical climates on Earth. She learned the following:
• Tropical climates: Summer and winter temperatures are similar.
• Polar climates: Summer temperature is much higher than winter temperature.
Tasha wonders why the tropical climate has the same temperature year round, but the polar climate temperature differs greatly.
Which of these explains the reason for this difference?",false causality
1268,"libraries, framework and tools solve a lot of general programming issues so programmer do not repeat solve them over and over again.This actually simplify the programming.",fallacy of red herring
1269,Killing people as a crime is savage-like.,fallacy of red herring
1270,"Several years ago, a group of 10 psychologists started a psychology training program. Each of those psychologists is efficient, effective, and highly-regarded. Their training program must be efficient, effective, and highly-regarded.",faulty generalization
1271,Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,false causality
1272,Old Major's speech claiming that ALL the animals will unite and revolt against the humans,ad populum
1273,Marty said that his Xbox One X had better resolution than Phil’s PS4 during their gaming console debate. Phil suddenly brought up how powerful his PC was when Marty started talking about the specs of the two gaming consoles.,fallacy of red herring
1274,"Michael Jordan wears Hanes underwear, so you should too!",fallacy of credibility
1275,"Webster's defines theft as the taking of property with intent to deprive the rightful owner of it. The taxee sends money to the taxing authority themselves, on pain of imprisonment. This is not theft but extortion, the getting of property/money from a person by the use of force or threats.",fallacy of red herring
1276,Either we ban teenagers from possessing cell phones or we continue to let thousands of young students fail their classes.,false dilemma
1277,"All Paul Newman movies are great.
All great movies are Oscar winners.
Therefore, all Oscar winners are Paul Newman movies.",fallacy of logic
1278,an attempt to persuade the reader/audience based on feelings or emotions; emotional response,appeal to emotion
1279,I guess that I should by my 12 year old an iPhone since everyone else has one.,ad populum
1280,"Nano is a good default, as it maintains simplicity",fallacy of red herring
1281,"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. Therefore, it’s reasonable to conclude that chocolate helps keep your weight down.",false causality
1282,"The existence of scientific law is itself evidence of creation. Laws of nature, matter, energy, fields are all evidence of creation for how else could these things have come to exist? Whatever brought these things into existence is what I term ""creation"".",ad populum
1283,"Free speech is good not just for the individual, but for all of society. After all, it's in the interest of the community that everyone should be at liberty to express his or her beliefs.",circular reasoning
1284,Eat lamb--could thousands of coyotes be wrong?,ad populum
1285,how is self defense more a social utility than taveling faster from point a to point b?,faulty generalization
1286,"Only a selfish, non-caring person would believe that this is ok.",ad hominem
1287,"P or Q.
P.
Therefore, not Q.
P or Q.",fallacy of logic
1288,Competition does provide rather the worst properties of mankind than the best.,fallacy of red herring
1289,"No consciousness has ever been observed to exist without a biological brain, thus it is safe to conclude that when your brain ceases to function, your consciousness will no longer exist.",ad populum
1290,We have no evidence that the Illuminati ever existed. They must have been so clever that they destroyed all the evidence.,intentional
1291,"""The mind is like a knife, cutting through difficult problems. But just as too much cutting dulls a knife, so too much education dulls the mind.""",fallacy of logic
1292,"There is a difference between losing the ownership of a things, and losing the things on which you have ownership.
But what ""taxation"" do exactly, will be relative of how you define ""property"" exactly.
All the difficulty of the argument rely on this concept.",fallacy of credibility
1293,"""I know the exam is graded based on performance, but you should give me an A. My cat has been sick, my car broke down, and I've had a cold, so it was really hard for me to study!""",appeal to emotion
1294,It's named after a bitchin snake!,fallacy of red herring
1295,"Kent: My new car is really fast.

Cal: I doubt that it is as fast as a jet fighter so, therefore, it is not fast.",fallacy of extension
1296,Delores is a big supporter for equal pay for equal work.  This is the same policy that all those extreme feminist groups support.  Extremists like Delores should not be taken seriously -- at least politically.,faulty generalization
1297,"If you choose not to administer triple antibiotic coverage for this patient with severe and extensive burns, you will be held responsible for any infectious complications that might eventually arise.",appeal to emotion
1298,"a persuasive technique used in media messages that appeals to the ""everyone is doing it"" mentality",ad populum
1299,You can't give me a C. I'm an A student.,circular reasoning
1300,"People don't really believe a flying spaghetti monster is real but people do believe their gods are real. They only pretend to believe to show how stupid religion is.
Beliefs shouldn't grant extra rights.",ad populum
1301,You can't believe Bob's idea. He's a socialist.,ad hominem
1302,"Pamela says that she thinks that the class should do more service projects. Mark says he can't believe that Pamela doesn't support the annual school dance.
Pamela dice que ella piensa que la clase debería hacer más proyectos de servicio. Mark dice que no puede creer que Pamela no apoye el baile escolar anual",fallacy of extension
1303,Why do people hold philosophy higher then critical thinking?,circular reasoning
1304,one thing leads to another and another and another. . . creates a “snowball” effect.,faulty generalization
1305,"Noisy children are a real headache. Two aspirin will make a headache go away. Therefore, two aspirin will make noisy children go away.",equivocation
1306,It would turn us all into communists,fallacy of slippery slope
1307,I hated the movie because it was the worst movie I ever saw.,circular reasoning
1308,That parking attendant who gave me a ticket is as bad as Hitler.,fallacy of red herring
1309,news organizations are Fake News?,faulty generalization
1310,You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,ad hominem
1311,The default configuration of emacs is pretty bad.,fallacy of red herring
1312,marijuana shouldn’t be legalized because it wasn’t socially acceptable.,circular reasoning
1313,"Thier sexual relationships and rights over thier own body would be subject to laws and regulations, such as forced sexual health examinations. This conflict with common law is why this practoce has been stopped in the past",fallacy of red herring
1314,Social benefits should be considered a right rather than something that needs justification of any kind.,circular reasoning
