sentence,fine_class,sentence+prompt,prompt,coarse_class
Arguing based on whether something is popular,ad populum,"Arguing based on whether something is popular is like arguing on whether something belongs in a museum. It is the same argument. So, I am tired of this. We should get rid of both houses of congress. Arg 1: arguing based on whether something i"," is like arguing on whether something belongs in a museum. It is the same argument. So, I am tired of this. We should get rid of both houses of congress. Arg 1: arguing based on whether something i",fallacy of relevance
"Everyone seems to support the changes in the vacation policy, and if everyone likes them, they must be
good.",ad populum,"Everyone seems to support the changes in the vacation policy, and if everyone likes them, they must be good. Population: everyone Belief: of the changes in the vacation policy Claim: they must be good ", Population: everyone Belief: of the changes in the vacation policy Claim: they must be good ,fallacy of relevance
"""I asked my five closest friends and they all agree that the new Underwater Basketweaving Team Coach is a jerk, therefore I'm not trying out for the team"" IS an example of THIS fallacy.",faulty generalization,"""I asked my five closest friends and they all agree that the new Underwater Basketweaving Team Coach is a jerk, therefore I'm not trying out for the team"" IS an example of THIS fallacy. Phenomenon: I asked my five close friend Conclusion: they agree that the new Underwater Basketweaving Team Coach is a jerk ", Phenomenon: I asked my five close friend Conclusion: they agree that the new Underwater Basketweaving Team Coach is a jerk ,component fallacy
"""I will end this war in Iraq responsibly, and finish the fight against al Qaeda and the Taliban in Afghanistan. I will rebuild our military to meet future conflicts. But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression. I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease. And I will restore our moral standing, so that America is once again that last, best hope for all who are called to the cause of freedom, who long for lives of peace, and who yearn for a better future.""  Which appeal is the primary appeal used in this quote?",fallacy of credibility,"""I will end this war in Iraq responsibly, and finish the fight against al Qaeda and the Taliban in Afghanistan. I will rebuild our military to meet future conflicts. But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression. I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease. And I will restore our moral standing, so that America is once again that last, best hope for all who are called to the cause of freedom, who long for lives of peace, and who yearn for a better future."" Which appeal is the primary appeal used in this quote? Use one of the following two options: A) The president is presenting his foreign policy policy agenda. or B) The president is focusing on domestic policies and has left foreign policy issues to a future speech. ",Use one of the following two options: A) The president is presenting his foreign policy policy agenda. or B) The president is focusing on domestic policies and has left foreign policy issues to a future speech. ,fallacy of relevance
"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.",false dilemma,"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem. Choice 1: to help cure XYZ disease Choice 2: to help raise funds ",Choice 1: to help cure XYZ disease Choice 2: to help raise funds ,component fallacy
"I have served over 20 years in the military, and based on my professional opinion, I believe more money needs to be spent on protective armor and military vehicles.",fallacy of credibility,"I have served over 20 years in the military, and based on my professional opinion, I believe more money needs to be spent on protective armor and military vehicles. Claim Y: more money needs to be spent on protective armor and military vehicles Credibility: I have served over 20 years in the military ", Claim Y: more money needs to be spent on protective armor and military vehicles Credibility: I have served over 20 years in the military ,fallacy of relevance
"We haven’t proven aliens didn’t create life on earth, so aliens created life on earth.",intentional,"We haven’t proven aliens didn’t create life on earth, so aliens created life on earth. Argument: haven\’t proven aliens didn\'t create life Intention: to prove aliens created life on earth ", Argument: haven\’t proven aliens didn\'t create life Intention: to prove aliens created life on earth ,fallacy of relevance
"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!""",ad populum,"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!"" Population: the rest of us Belief: is the greatest food chain Claim: is the greatest food chain ", Population: the rest of us Belief: is the greatest food chain Claim: is the greatest food chain ,fallacy of relevance
Compares minor problems with much more serious crimes,fallacy of relevance,Compares minor problems with much more serious crimes such as rape Claim: compares much more serious crimes Distortion: compares minor problems , such as rape Claim: compares much more serious crimes Distortion: compares minor problems ,fallacy of relevance
"America is the best place to live, because it's better than any other country.",circular reasoning,"America is the best place to live, because it's better than any other country. People are so independent and self-sufficient, you can just be whoever you want to be! Phenomenon: America is the best place to live because America sucks and everything sucks Conclusion: America is the best place to live "," People are so independent and self-sufficient, you can just be whoever you want to be! Phenomenon: America is the best place to live because America sucks and everything sucks Conclusion: America is the best place to live ",component fallacy
You can't believe Bob's idea. He's a socialist.,ad hominem,You can't believe Bob's idea. He's a socialist. attack: Socialist claim: You can't believe Robert's idea. , attack: Socialist claim: You can't believe Robert's idea. ,fallacy of relevance
"""People who don't support the proposed state minimum wage increase hate the poor.""",fallacy of extension,"""People who don't support the proposed state minimum wage increase hate the poor."" That's just the kind of person my opponent is. He is out-of-touch and out of touch with the will of the people. Claim: don\'t support minimum wage increase Distortion: hate the poor ", That's just the kind of person my opponent is. He is out-of-touch and out of touch with the will of the people. Claim: don\'t support minimum wage increase Distortion: hate the poor ,component fallacy
Albert Einstein was extremely impressed with this theory.,fallacy of credibility,"Albert Einstein was extremely impressed with this theory. He said: ""Elegant theories are often only poorly thought out. Therefore, it makes sense to examine simple and obvious theories in detail. However, once you start with the simple and obvious, it is hard to accept that this is it; no furthe"," He said: ""Elegant theories are often only poorly thought out. Therefore, it makes sense to examine simple and obvious theories in detail. However, once you start with the simple and obvious, it is hard to accept that this is it; no furthe",fallacy of relevance
"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",ad hominem,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports. Will: I doubt it—you obviously just want to sell me that car. Salesman: What? No! The car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports. No other car in the world matches its reliability. I swear! I don't know where you heard about another car getting as good or better gas mileage. Will: I know someone who drives this car. Salesman: Will, this is not a conversation you want to be having—this car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports. The other car may get as good gas mileage, but it also has lots of problems. Will: He drives one of those gas guzzlers. Salesman: That car? Will: Yes. Salesman: What was that? Will: That's when I say ""he drives one of those gas guzzlers"" is when he drives a gas guz","Salesman: What? No! The car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports. No other car in the world matches its reliability. I swear! I don't know where you heard about another car getting as good or better gas mileage. Will: I know someone who drives this car. Salesman: Will, this is not a conversation you want to be having—this car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports. The other car may get as good gas mileage, but it also has lots of problems. Will: He drives one of those gas guzzlers. Salesman: That car? Will: Yes. Salesman: What was that? Will: That's when I say ""he drives one of those gas guzzlers"" is when he drives a gas guz",fallacy of relevance
"Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake!",intentional,"Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! Claim Y: all drunk drivers should go to prison Credibility: Yes he is a good boy who made a mistake! ", Claim Y: all drunk drivers should go to prison Credibility: Yes he is a good boy who made a mistake! ,fallacy of relevance
"""All my friends are doing a low carb diet. That must be the only way to lose weight."" Mentioned Murtaza",ad populum,"""All my friends are doing a low carb diet. That must be the only way to lose weight."" Mentioned Murtaza Khan of New Delhi, India. Population: All my friends Belief: are doing a low carb diet Claim: They must be the only way to lose weight "," Khan of New Delhi, India. Population: All my friends Belief: are doing a low carb diet Claim: They must be the only way to lose weight ",fallacy of relevance
You're with us or you're against us.,false dilemma,You're with us or you're against us. Choice 1: you're with us Choice 2: you're against us ,Choice 1: you're with us Choice 2: you're against us ,component fallacy
"We can’t legalize marijuana; if we do, then the next thing you know people will be strung out on heroin.",faulty generalization,"We can’t legalize marijuana; if we do, then the next thing you know people will be strung out on heroin. If people were going to do heroin anyway, legalizing marijuana was only going to make things worse. Arg 1: We can�t legalize marijuana Arg 2: if we do, then the next you know people are going to be strung out "," If people were going to do heroin anyway, legalizing marijuana was only going to make things worse. Arg 1: We can�t legalize marijuana Arg 2: if we do, then the next you know people are going to be strung out ",component fallacy
"You support capital punishment just because you want an “eye for an eye,” but I have several good reasons to believe that capital punishment is fundamentally wrong.",fallacy of extension,"You support capital punishment just because you want an “eye for an eye,” but I have several good reasons to believe that capital punishment is fundamentally wrong. First, it's barbaric; second, there is no logic in it; and third, it doesn't accomplish any other goal. Event A: you support capital punishment Event B: just because Cause: it's barbaric "," First, it's barbaric; second, there is no logic in it; and third, it doesn't accomplish any other goal. Event A: you support capital punishment Event B: just because Cause: it's barbaric ",component fallacy
If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.,faulty generalization,If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well. Phenomenon: bad for teenagers next we ban all videos games next are bans on all cell phones Conclusion: I will ban all video games next bans on all cell phones , Phenomenon: bad for teenagers next we ban all videos games next are bans on all cell phones Conclusion: I will ban all video games next bans on all cell phones ,component fallacy
"If someone told you, ""Why should we be worrying about how the government treats Native people, when people in our city can't get a job?"" what logical fallacy are they using?",fallacy of relevance,"If someone told you, ""Why should we be worrying about how the government treats Native people, when people in our city can't get a job?"" what logical fallacy are they using? Claim X: Native people can\'t get a job Claim Y: worry about how the government treats Native people ", Claim X: Native people can\'t get a job Claim Y: worry about how the government treats Native people ,fallacy of relevance
"Zebedee: What is your view on the Christian God?

Mike: I don’t believe in any gods, including the Christian one.

Zebedee: So you think that we are here by accident, and all this design in nature is pure chance, and the universe just created itself?

Mike: You got all that from me stating that I just don’t believe in any gods?",fallacy of extension,"Zebedee: What is your view on the Christian God? Mike: I don’t believe in any gods, including the Christian one. Zebedee: So you think that we are here by accident, and all this design in nature is pure chance, and the universe just created itself? Mike: You got all that from me stating that I just don’t believe in any gods? Zebedee: You can’t just say that you don’t believe in any gods? Mike: No, and that’s not the point. What’s the point of stating that you don’t believe in any gods if you hold that you believe in an absolute God which you don’t believe in? You’re not consistent. No one would believe you when you’re being a hypocrite. Zebedee: That’s just semantics, man. How can you say you believe in one thing and say you don’t believe in the other? Mike: Because I don’t believe in any gods, you can see that. Zebedee: This is going a whole lot of different ways. This is not like when you believe in aliens abducting people, but you still believe in God. Mike: You’re confusing a false belief in aliens abducting a belief in God. Zebedee: The question was whether or not you believe in a god! Mike: Fine. Then you are a fool. You don’t really understand why atheists exist. It has to do with not having one true answer. There isn’t even one god. Everything is chance. Zebedee: You’re too arrogant to admit any belief! You do everything with your own logic only! You don’t even admit any belief! It’s just like saying I don’","bedee: You can’t just say that you don’t believe in any gods? Mike: No, and that’s not the point. What’s the point of stating that you don’t believe in any gods if you hold that you believe in an absolute God which you don’t believe in? You’re not consistent. No one would believe you when you’re being a hypocrite. Zebedee: That’s just semantics, man. How can you say you believe in one thing and say you don’t believe in the other? Mike: Because I don’t believe in any gods, you can see that. Zebedee: This is going a whole lot of different ways. This is not like when you believe in aliens abducting people, but you still believe in God. Mike: You’re confusing a false belief in aliens abducting a belief in God. Zebedee: The question was whether or not you believe in a god! Mike: Fine. Then you are a fool. You don’t really understand why atheists exist. It has to do with not having one true answer. There isn’t even one god. Everything is chance. Zebedee: You’re too arrogant to admit any belief! You do everything with your own logic only! You don’t even admit any belief! It’s just like saying I don’",component fallacy
Either we pass this ordinance or there will be rioting in the streets.,false dilemma,"Either we pass this ordinance or there will be rioting in the streets. A is true. B is true. Therefore, A or B. Logic x: B. Logic y: A <|endoftext|"," A is true. B is true. Therefore, A or B. Logic x: B. Logic y: A <|endoftext|",component fallacy
"Jason said that that was all cool and everything, but his grandfather smoked, like, 30 cigarettes a day and lived until 97 - so don't believe everything you read about meta analyses of methodologically sound studies showing proven causal relationships.",faulty generalization,"Jason said that that was all cool and everything, but his grandfather smoked, like, 30 cigarettes a day and lived until 97 - so don't believe everything you read about meta analyses of methodologically sound studies showing proven causal relationships. Event A: Jason said that all cool and everything Event B: his grandfather smoked Cause: his grandfather smoked ", Event A: Jason said that all cool and everything Event B: his grandfather smoked Cause: his grandfather smoked ,component fallacy
"""Finish your dinner. There are starving children in Africa."" is an example of",fallacy of relevance,"""Finish your dinner. There are starving children in Africa."" is an example of a moral truth. Phenomenon: Finish your dinner. There are starving children in Africa Conclusion: ", a moral truth. Phenomenon: Finish your dinner. There are starving children in Africa Conclusion: ,fallacy of relevance
"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important!",false causality,"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important! Phenomenon: every time that rooster crows, the sun it comes up. Conclusion: rooster must be very powerful and important "," Phenomenon: every time that rooster crows, the sun it comes up. Conclusion: rooster must be very powerful and important ",component fallacy
"Primitive people believed in gods to explain natural phenomena. We have science, and are not primitive anymore. Therefore, there is no God.",ad hominem,"Primitive people believed in gods to explain natural phenomena. We have science, and are not primitive anymore. Therefore, there is no God. attack: primitive people claim: We have science ", attack: primitive people claim: We have science ,fallacy of relevance
Students tell Ms. Higgins her hair color looks different on her. Ms. Higgins can't believe her students called ugly and horrendous to look at.,fallacy of extension,"Students tell Ms. Higgins her hair color looks different on her. Ms. Higgins can't believe her students called ugly and horrendous to look at. Students then begin to complain the teacher's clothes are ""way too loud."" Ms. Higgins decides to give her students a compliment with this line: ""You look great, Ms. Higgins."" Ms. Higgins' students are speechless, but they do appreciate the effort to compliment them. Ms. Higgins is able to help her students see that things can look really different from day to day. I wrote a class and would love some feedback, I have been having a hard time figuring out how to turn the text into a series, and i'm not sure if i am using the text correctly. I would love for some of you to be able to critique the class and let me know wher"," Students then begin to complain the teacher's clothes are ""way too loud."" Ms. Higgins decides to give her students a compliment with this line: ""You look great, Ms. Higgins."" Ms. Higgins' students are speechless, but they do appreciate the effort to compliment them. Ms. Higgins is able to help her students see that things can look really different from day to day. I wrote a class and would love some feedback, I have been having a hard time figuring out how to turn the text into a series, and i'm not sure if i am using the text correctly. I would love for some of you to be able to critique the class and let me know wher",component fallacy
His opinions about sports mean nothing - he can barely tie his own shoes!,ad hominem,His opinions about sports mean nothing - he can barely tie his own shoes! Claim X: of sports Claim Y: opinion about sports means nothing , Claim X: of sports Claim Y: opinion about sports means nothing ,fallacy of relevance
"No one has ever been able to prove that extraterrestrials do not exist, so they must be real.",intentional,"No one has ever been able to prove that extraterrestrials do not exist, so they must be real. Argument: No one has ever been able to prove that extraterrestrials do not exist Intention: proving extraterrestrials are real ", Argument: No one has ever been able to prove that extraterrestrials do not exist Intention: proving extraterrestrials are real ,fallacy of relevance
"At soccer practice, Willeidy tells Aida, ""Pace's soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!""",false causality,"At soccer practice, Willeidy tells Aida, ""Pace's soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!"" What fallacy is being committed here? Event A: Willeidy told Aida Event B: bought my lucky shoes Cause: my lucky shoes are the reason we did not lose a game ", What fallacy is being committed here? Event A: Willeidy told Aida Event B: bought my lucky shoes Cause: my lucky shoes are the reason we did not lose a game ,component fallacy
My job interview did not go well. I'll never get a job.,faulty generalization,My job interview did not go well. I'll never get a job. There are so many applicants that will be better than me at everything. Phenomenon: did not go well Conclusion: I'll never get a job , There are so many applicants that will be better than me at everything. Phenomenon: did not go well Conclusion: I'll never get a job ,component fallacy
If the country is ever going to be safe from terrorists we have to close the borders.,false causality,"If the country is ever going to be safe from terrorists we have to close the borders. There should be no more foreign immigration! My reasoning here is that there are soooo many people living in the USA who are potential terrorists! My neighbor's uncle is a terrorist for goodness sakes! Sentence 17: My neighbors have dogs, and I find some dead birds inside their house. The dogs must have eaten the birds, therefore, cats can eat mice. Sentence 18"," There should be no more foreign immigration! My reasoning here is that there are soooo many people living in the USA who are potential terrorists! My neighbor's uncle is a terrorist for goodness sakes! Sentence 17: My neighbors have dogs, and I find some dead birds inside their house. The dogs must have eaten the birds, therefore, cats can eat mice. Sentence 18",component fallacy
"In the United States, one can vote for either Democrats or Republicans.",false dilemma,"In the United States, one can vote for either Democrats or Republicans. Claim X: Democrats or Republicans Claim Y: one can vote for Democrats or Republicans ", Claim X: Democrats or Republicans Claim Y: one can vote for Democrats or Republicans ,component fallacy
You say that Coach Smith pressured teachers to give his students passing grades. But don’t you agree that athletics are important to schools? Don’t they build character?,fallacy of relevance,"You say that Coach Smith pressured teachers to give his students passing grades. But don’t you agree that athletics are important to schools? Don’t they build character? Intention: \\\""to prove that athletics are important "," Intention: \\\""to prove that athletics are important ",fallacy of relevance
Don't buy any of the clothes made by that company. Most of them are made in China so they must be cheap.,ad hominem,Don't buy any of the clothes made by that company. Most of them are made in China so they must be cheap. attacked: Most of them are made in China so they must be cheap claimed: Don't buy any of the clothes made by that company , attacked: Most of them are made in China so they must be cheap claimed: Don't buy any of the clothes made by that company ,fallacy of relevance
"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt.",faulty generalization,"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt. Phenomenon: once you start, you won\'t be able to stop, and you wll end up bankrupt. Conclusion: won\'t be able to stop "," Phenomenon: once you start, you won\'t be able to stop, and you wll end up bankrupt. Conclusion: won\'t be able to stop ",component fallacy
"""If you lie, than you will end up in jail."" Is an example of...",faulty generalization,"""If you lie, than you will end up in jail."" Is an example of... Event A: If you lie, than you will end up in jail. # Event B? ## ""The answer is to be found not in the logical, but in the emotional realm."" "," Event A: If you lie, than you will end up in jail. # Event B? ## ""The answer is to be found not in the logical, but in the emotional realm."" ",component fallacy
"It is said that we have a good understanding of our universe.  Therefore, we know exactly how it began and exactly when.",equivocation,"It is said that we have a good understanding of our universe. Therefore, we know exactly how it began and exactly when. statement: we have a understanding of our universe premise:our understanding of our universe is good conclusion:we know how it began and exactly when ",statement: we have a understanding of our universe premise:our understanding of our universe is good conclusion:we know how it began and exactly when ,equivocation
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?

Ken: But what is morality exactly?

Mike: It’s a code of conduct shared by cultures.

Ken: But who creates this code?...",fallacy of relevance,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that? Ken: But what is morality exactly? Mike: It’s a code of conduct shared by cultures. Ken: But who creates this code?... Mike: God Sentence 17: God created the world. Phenomenon: God created the world Conclusion: God created the world sentence 18: In the beginning, God created the heavens and the Earth. Phenomenon: in the beginning God created the heavens and the Earth. Conclusion: In the beginning God created the Heavens and the Earth sentence 19: My uncle said that some foods are good for the body and some foods are bad. He said you should read the list and do it at least once a week. Phenomenon: do at least once a week Conclusion: do at least once a week sentence 20: My uncle told me that the fish I ate was probably full of mercury. Now I’m not sure what to eat anymore. Phenomenon: the fish I ate are probably full of mercury. Conclusion: Not sure what to eat ","ke: God Sentence 17: God created the world. Phenomenon: God created the world Conclusion: God created the world sentence 18: In the beginning, God created the heavens and the Earth. Phenomenon: in the beginning God created the heavens and the Earth. Conclusion: In the beginning God created the Heavens and the Earth sentence 19: My uncle said that some foods are good for the body and some foods are bad. He said you should read the list and do it at least once a week. Phenomenon: do at least once a week Conclusion: do at least once a week sentence 20: My uncle told me that the fish I ate was probably full of mercury. Now I’m not sure what to eat anymore. Phenomenon: the fish I ate are probably full of mercury. Conclusion: Not sure what to eat ",fallacy of relevance
"""Russia has a terrible human rights record."" ""Well, the United States has done plenty of bad things."" -the President when confronted about Russia's human rights abuses.",fallacy of relevance,"""Russia has a terrible human rights record."" ""Well, the United States has done plenty of bad things."" -the President when confronted about Russia's human rights abuses. Claim X: bad things Claim Y: human rights abuses ", Claim X: bad things Claim Y: human rights abuses ,fallacy of relevance
"Sometimes flu vaccines don’t work, therefore vaccines are useless.",faulty generalization,"Sometimes flu vaccines don’t work, therefore vaccines are useless. Phenomenon: vaccines often fail to work Conclusion: are useless ", Phenomenon: vaccines often fail to work Conclusion: are useless ,component fallacy
Lahat nakamove-on na ikaw na lang hindi pa. #MarcosIsAHero,ad populum,Lahat nakamove-on na ikaw na lang hindi pa. #MarcosIsAHero. Claim Y: you should be fine without a lawyer. #MarcosIsAHero. Credibility: ,. Claim Y: you should be fine without a lawyer. #MarcosIsAHero. Credibility: ,fallacy of relevance
"“The best minds in physics have studied physics most of their lives, as it’s necessary to study physics extensively to become a top physicist.”",circular reasoning,"“The best minds in physics have studied physics most of their lives, as it’s necessary to study physics extensively to become a top physicist.” Population: best minds in physics Belief: studied physics most of their lives Claim: studied physics ", Population: best minds in physics Belief: studied physics most of their lives Claim: studied physics ,component fallacy
"Vietnam War—America, love it or leave it",ad populum,"Vietnam War—America, love it or leave it! Why are we still in the Vietnam War? Population:America Belief: love it or leave it Claim: still in the Vietnam War ",! Why are we still in the Vietnam War? Population:America Belief: love it or leave it Claim: still in the Vietnam War ,fallacy of relevance
"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?",ad hominem,"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed? What am I missing? What is the attack, and what is the claim? What fallacy has she committed? I can tell it's something to do with the claim, but it makes my brain hurt all over again. A: I think the fallacy is that of False Analogy. From The Concise Encyclopedia of English. The fallacy of false analogy is perhaps the most common fallacy seen in formal writing. It is sometimes hard to detect in speech because of the inherent confusion in trying to translate between different media. A student will often claim something like, ""You're as mean as a teacher!"" as a rebuttal to a statement or claim presented by another student. Because of the inherent confusion that arises when comparing two different sources, it can be very important for teachers to be very clear in the student's mind when we are discussing what they are talking about and when we talk about something else. In our example, Louise is analoging between (a) the statemen"," What am I missing? What is the attack, and what is the claim? What fallacy has she committed? I can tell it's something to do with the claim, but it makes my brain hurt all over again. A: I think the fallacy is that of False Analogy. From The Concise Encyclopedia of English. The fallacy of false analogy is perhaps the most common fallacy seen in formal writing. It is sometimes hard to detect in speech because of the inherent confusion in trying to translate between different media. A student will often claim something like, ""You're as mean as a teacher!"" as a rebuttal to a statement or claim presented by another student. Because of the inherent confusion that arises when comparing two different sources, it can be very important for teachers to be very clear in the student's mind when we are discussing what they are talking about and when we talk about something else. In our example, Louise is analoging between (a) the statemen",fallacy of relevance
There's no way you know this - you're clearly too young to understand!,ad hominem,There's no way you know this - you're clearly too young to understand! Population: you're clearly too young to understand Belief: this Claim: this , Population: you're clearly too young to understand Belief: this Claim: this ,fallacy of relevance
"arguing at length that your religion is of great help to many people. Then, concluding that the teachings of your religion are undoubtably true",fallacy of logic,"arguing at length that your religion is of great help to many people. Then, concluding that the teachings of your religion are undoubtably true, makes you appear as if nothing else has ever been achieved in the world in your history. Claim X: arguing at length that your religion is of great help Claim Y: the teachings of your religion are undoubtably true ",", makes you appear as if nothing else has ever been achieved in the world in your history. Claim X: arguing at length that your religion is of great help Claim Y: the teachings of your religion are undoubtably true ",component fallacy
Distracting your audience from the original issue by introducing an irrelevant topic.,fallacy of relevance,Distracting your audience from the original issue by introducing an irrelevant topic. Claim X: distract your audience from the original issue Claim Y: introduce an irrelevant topic , Claim X: distract your audience from the original issue Claim Y: introduce an irrelevant topic ,fallacy of relevance
"The ideas from that member of the club are wrong, but he isn’t actually a true member of the club so his ideas do not matter.",intentional,"The ideas from that member of the club are wrong, but he isn’t actually a true member of the club so his ideas do not matter. 1 we haven't found the ruins of Troy 2 3 we haven't found the ruins 4 5 6 ``` ## Model #3 ## """""" The idea that you should be held accountable for your actions. """""" sentence 1: I wish your home wasn't in a flood zone, so then your belongings wouldn't have been ruined when the flood came. Argument: Your hom"," 1 we haven't found the ruins of Troy 2 3 we haven't found the ruins 4 5 6 ``` ## Model #3 ## """""" The idea that you should be held accountable for your actions. """""" sentence 1: I wish your home wasn't in a flood zone, so then your belongings wouldn't have been ruined when the flood came. Argument: Your hom",fallacy of relevance
"All cats are animals.
Some pets are cats.
Therefore, some pets are not animals.",fallacy of logic,"All cats are animals. Some pets are cats. Therefore, some pets are not animals. Arg 1: All cats are animal Arg 2: cats are some pets ", Arg 1: All cats are animal Arg 2: cats are some pets ,component fallacy
AttP 11: It is okay to walk across Mr. Jones's property as evidenced by other people walking on his property.,ad populum,AttP 11: It is okay to walk across Mr. Jones's property as evidenced by other people walking on his property. Attack 11: It's okay to walk on his property Claim 11: It's not okay , Attack 11: It's okay to walk on his property Claim 11: It's not okay ,fallacy of relevance
"Bruce is American, or he is not from New Jersey.
Bruce is not American, therefore, he is not from New Jersey.",fallacy of logic,"Bruce is American, or he is not from New Jersey. Bruce is not American, therefore, he is not from New Jersey. And of course, our last sentence is this one: ""If I was a dog, I would bark."" ```{r,echo = FALSE} s <- lapply(1:16, function(x) { sentences <- strsplit(sample(lines, x), split=""[.?!]"")[[1]] paste(sentences, collapse = '| ') }) ``` ```{r,echo = TRUE, message=FALSE} mtcars2 <","And of course, our last sentence is this one: ""If I was a dog, I would bark."" ```{r,echo = FALSE} s <- lapply(1:16, function(x) { sentences <- strsplit(sample(lines, x), split=""[.?!]"")[[1]] paste(sentences, collapse = '| ') }) ``` ```{r,echo = TRUE, message=FALSE} mtcars2 <",component fallacy
I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor.,false causality,"I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor. Connecticut has a very wealthy and diverse population. That means that you can make just about any type and style of home that you can think of. The only caveat being that it needs to be close to an easy train or bus ride away from Manhattan. But hey, who is complaining about that? Not me. Claim: make just about any type and style of house Distortion: needs to be close to easy train or bus to Manhattan, easy train or bus "," Connecticut has a very wealthy and diverse population. That means that you can make just about any type and style of home that you can think of. The only caveat being that it needs to be close to an easy train or bus ride away from Manhattan. But hey, who is complaining about that? Not me. Claim: make just about any type and style of house Distortion: needs to be close to easy train or bus to Manhattan, easy train or bus ",component fallacy
"""If you hadn't vandalized that car, don't you think things would have gone better for you?""",intentional,"""If you hadn't vandalized that car, don't you think things would have gone better for you?"" ""I was just trying to defend myself!"" ""That was the only way to protect myself from a dangerous animal!"" \> \>\> \> \> \>\> \>\> \>\> \> \> \> \> \>\>\> \>\> \>\> \>\"," ""I was just trying to defend myself!"" ""That was the only way to protect myself from a dangerous animal!"" \> \>\> \> \> \>\> \>\> \>\> \> \> \> \> \>\>\> \>\> \>\> \>\",fallacy of relevance
"If you're going to add that much salt to the soup, you might as well pour the whole box in!",faulty generalization,"If you're going to add that much salt to the soup, you might as well pour the whole box in! Phenomenon: the box of salt Conclusion: you might as well pour the whole box in ", Phenomenon: the box of salt Conclusion: you might as well pour the whole box in ,component fallacy
"America keeps telling China to be more respecting of journalism, but why don't they stop the American propaganda first?",ad hominem,"America keeps telling China to be more respecting of journalism, but why don't they stop the American propaganda first? Event A: America Event B: journalism Cause: America propaganda second A: Answers sentence 1: The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind-control device to increase holiday spending. Sentence 2: Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set. Cause: my sleeping causes sun to set. Sentence 3: I have flipped heads fiv"," Event A: America Event B: journalism Cause: America propaganda second A: Answers sentence 1: The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind-control device to increase holiday spending. Sentence 2: Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set. Cause: my sleeping causes sun to set. Sentence 3: I have flipped heads fiv",fallacy of relevance
"America is the best place to live, because it's better than any other country.",circular reasoning,"America is the best place to live, because it's better than any other country. Logic x: America is the best place to live, because it's better than any other country Logic y: America is is the best place to live "," Logic x: America is the best place to live, because it's better than any other country Logic y: America is is the best place to live ",component fallacy
