predictions,true_labels,amr_str
fallacy of extension,fallacy of extension,"# ::snt "" MSK0 want MSK0 to go to a MSK1 university so MSK2 can avoid too much debt . "" "" Why do MSK2 think MSK1 MSK3 are better than MSK4 MSK3 ? Harvard and Princeton are MSK4 . "" What is this ? 
(m / multi-sentence
      :snt1 (w / want-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (g / go-01
                  :ARG1 p
                  :ARG4 (u / university
                        :mod (p2 / product
                              :name (n2 / name
                                    :op1 ""MSK1""))))
            :purpose (p3 / possible-01
                  :ARG1 (a / avoid-01
                        :ARG0 p
                        :ARG1 (d / debt
                              :ARG1-of (h / have-quant-91
                                    :ARG2 (m2 / much)
                                    :ARG3 (t / too))))))
      :snt2 (c / cause-01
            :ARG0 (a2 / amr-unknown)
            :ARG1 (t2 / think-01
                  :ARG0 (p4 / person
                        :name (n3 / name
                              :op1 ""MSK2""))
                  :ARG1 (h2 / have-degree-91
                        :ARG1 (a3 / and
                              :op1 (p5 / product
                                    :name (n4 / name
                                          :op1 ""MSK1""))
                              :op2 (p6 / product
                                    :name (n5 / name
                                          :op1 ""MSK3"")))
                        :ARG2 (g2 / good-02
                              :ARG1 a3)
                        :ARG3 (m3 / more)
                        :ARG4 (a4 / and
                              :op1 (p7 / product
                                    :name (n6 / name
                                          :op1 ""MSK4""))
                              :op2 p6))))
      :snt3 (a5 / and
            :op1 (p8 / product
                  :name (n7 / name
                        :op1 ""MSK4""))
            :op2 (p9 / product
                  :name (n8 / name
                        :op1 ""MSK4""))
            :domain (u2 / university
                  :name (n9 / name
                        :op1 ""Harvard"")))
      :snt4 a2
      :domain (t3 / this))"
faulty generalization,faulty generalization,"# ::snt Almost all of the students MSK0 talked to said that they do n't like the senator . MSK0 'm sure he 'll lose the election on Tuesday . Which logical fallacy is represented here ? 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :ARG0-of (s2 / study-01)
                  :ARG1-of (t / talk-01
                        :ARG0 (p2 / person
                              :name (n / name
                                    :op1 ""MSK0"")))
                  :mod (a / all
                        :mod (a2 / almost)))
            :ARG1 (d / dislike-01
                  :ARG0 p
                  :ARG1 (p3 / person
                        :ARG0-of (h / have-org-role-91
                              :ARG2 (s3 / senator)))))
      :snt2 (s4 / sure-02
            :ARG0 p2
            :ARG1 (l / lose-03
                  :ARG0 (h2 / he)
                  :ARG1 (e / elect-01
                        :ARG1 h2)
                  :time (d2 / date-entity
                        :weekday (t2 / tuesday))))
      :snt3 (r / represent-01
            :ARG1 (f / fallacy
                  :mod (l2 / logic)
                  :mod (a3 / amr-unknown))
            :location (h3 / here)))"
ad populum,ad populum,"# ::snt Children should not listen to rap music . Everyone knows that . 
(k / know-01
      :ARG0 (e / everyone)
      :ARG1 (r / recommend-01
            :ARG1 (l / listen-01
                  :polarity -
                  :ARG0 (c / child)
                  :ARG1 (m / music
                        :mod (r2 / rap)))))"
faulty generalization,faulty generalization,"# ::snt If you vote for her , MSK0 as we know MSK0 will fall apart . 
(h / have-condition-91
      :ARG1 (f / fall-apart-09
            :ARG1 (p / product
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1-of (k / know-01
                  :ARG0 (w / we)))
      :ARG2 (v / vote-01
            :ARG0 (y / you)
            :ARG1 (s / she)))"
ad populum,ad populum,"# ::snt Arguing based on whether something is popular 
(a / argue-01
      :ARG1-of (b / base-02
            :ARG2 (t / truth-value
                  :polarity-of (p / popular-02
                        :ARG1 (s / something)))))"
false causality,false causality,"# ::snt MSK0 had MSK1 , then saw MSK2 . Just by talking with MSK2 , MSK0 started to subside , and MSK0 was all better the next day . MSK1 was well worth the $ 200 visit fee . 
(m / multi-sentence
      :snt1 (a / and
            :op1 (h / have-03
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (t / thing
                        :name (n2 / name
                              :op1 ""MSK1"")))
            :op2 (s / see-01
                  :ARG0 p
                  :ARG1 (t2 / thing
                        :name (n3 / name
                              :op1 ""MSK2""))
                  :time (t3 / then)))
      :snt2 (a2 / and
            :op1 (s2 / start-01
                  :ARG1 (s3 / subside-01
                        :ARG1 (t4 / thing
                              :name (n4 / name
                                    :op1 ""MSK0"")))
                  :manner (t5 / talk-01
                        :ARG0 p
                        :ARG2 (t6 / thing
                              :name (n5 / name
                                    :op1 ""MSK2""))
                        :mod (j / just)))
            :op2 (g / good-02
                  :ARG1 t4
                  :mod (a3 / all)
                  :time (d / day
                        :mod (n6 / next))
                  :ARG2-of (h2 / have-degree-91
                        :ARG1 t4
                        :ARG3 (m2 / more))))
      :snt3 (w / worth-02
            :ARG1 (t7 / thing
                  :name (n7 / name
                        :op1 ""MSK1""))
            :ARG2 (f / fee
                  :quant (m3 / monetary-quantity
                        :quant 200
                        :unit (d2 / dollar))
                  :purpose (v / visit-01))
            :degree (w2 / well)))"
fallacy of extension,ad hominem,"# ::snt What type of propaganda uses negative words or feelings against an idea , product or person ? 
(u / use-01
      :ARG0 (p / propaganda
            :mod (a / amr-unknown))
      :ARG1 (o / or
            :op1 (w / word)
            :op2 (f / feel-01)
            :ARG0-of (n / negative-02
                  :ARG1 (o2 / or
                        :op1 (ii / idea)
                        :op2 (p2 / product)
                        :op3 (p3 / person)))))"
ad hominem,ad hominem,"# ::snt MSK0 , is too young and inexperienced ; MSK0 could do without coref1 advice . 
(m / multi-sentence
      :snt1 (a / and
            :op1 (h / have-degree-91
                  :ARG1 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG2 (y / young)
                  :ARG3 (t / too))
            :op2 (e / experience-01
                  :polarity -
                  :ARG0 p))
      :snt2 (p2 / possible-01
            :ARG1 (d / do-02
                  :ARG0 (p3 / person
                        :name (n2 / name
                              :op1 ""MSK0""))
                  :prep-without (a2 / advise-01
                        :ARG0 (p4 / person
                              :name (n3 / name
                                    :op1 ""Coref1""))
                        :ARG1 p3))))"
ad populum,ad populum,"# ::snt MSK0 guess MSK0 should buy MSK0 12 - year - old daughter an iPhone . Everyone at MSK1 new school has one and MSK0 want MSK1 to fit in with the other kids . 
(m / multi-sentence
      :snt1 (g / guess-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (r / recommend-01
                  :ARG1 (b / buy-01
                        :ARG0 p
                        :ARG1 (p2 / product
                              :name (n2 / name
                                    :op1 ""iPhone""))
                        :ARG4 (p3 / person
                              :ARG0-of (h / have-rel-role-91
                                    :ARG1 p
                                    :ARG2 (d / daughter))
                              :age (t / temporal-quantity
                                    :quant 12
                                    :unit (y / year))))
                  :ARG2 p))
      :snt2 (a / and
            :op1 (h2 / have-03
                  :ARG0 (e / everyone
                        :location (s / school
                              :name (n3 / name
                                    :op1 ""MSK1"")
                              :ARG1-of (n4 / new-01)))
                  :ARG1 (o / one))
            :op2 (w / want-01
                  :ARG0 p
                  :ARG1 (f / fit-in-02
                        :ARG1 (p4 / person
                              :name (n5 / name
                                    :op1 ""MSK1""))
                        :ARG2 (k / kid
                              :mod (o2 / other))))))"
false causality,false causality,"# ::snt MSK0 soccer team was MSK1 until MSK2 bought new MSK3 . MSK0 have not MSK1 a game since MSK2 got MSK2 lucky MSK3 ! 
(m / multi-sentence
      :snt1 (s / string-entity
            :value ""MSK1""
            :domain (t / team
                  :name (n / name
                        :op1 ""MSK0"")
                  :mod (s2 / soccer))
            :time (u / until
                  :op1 (b / buy-01
                        :ARG0 (t2 / team
                              :name (n2 / name
                                    :op1 ""MSK2""))
                        :ARG1 (p / product
                              :name (n3 / name
                                    :op1 ""MSK3"")
                              :ARG1-of (n4 / new-01)))))
      :snt2 (h / have-03
            :polarity -
            :ARG0 (t3 / team
                  :name (n5 / name
                        :op1 ""MSK0""))
            :ARG1 (s3 / string-entity
                  :value ""MSK1"")
            :frequency (g / game)
            :time (s4 / since
                  :op1 (g2 / get-01
                        :ARG0 t3
                        :ARG1 (p2 / product
                              :name (n6 / name
                                    :op1 ""MSK2"")
                              :mod (l / lucky))))))"
fallacy of logic,fallacy of logic,"# ::snt People like to walk on the MSK0 . MSK0 have MSK1 . MSK2 should put MSK1 on the floor in MSK2 living room . 
(m / multi-sentence
      :snt1 (l / like-01
            :ARG0 (p / person)
            :ARG1 (w / walk-01
                  :ARG0 p
                  :ARG2 (p2 / product
                        :name (n / name
                              :op1 ""MSK0""))))
      :snt2 (h / have-03
            :ARG0 (p3 / product
                  :name (n2 / name
                        :op1 ""MSK0""))
            :ARG1 (p4 / product
                  :name (n3 / name
                        :op1 ""MSK1"")))
      :snt3 (r / recommend-01
            :ARG1 (p5 / put-01
                  :ARG0 (p6 / product
                        :name (n4 / name
                              :op1 ""MSK2""))
                  :ARG1 (p7 / product
                        :name (n5 / name
                              :op1 ""MSK1""))
                  :ARG2 (f / floor
                        :location (r2 / room
                              :mod (l2 / living)
                              :mod p6)))))"
fallacy of credibility,circular reasoning,"# ::snt You ca n't give MSK0 MSK1 ! MSK0 'm an A student , MSK1 is just wrong ! 
(m / multi-sentence
      :snt1 (p / possible-01
            :polarity -
            :ARG1 (g / give-01
                  :ARG0 (y / you)
                  :ARG1 (t / thing
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG2 (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK1""))))
      :snt2 (p2 / person
            :ARG0-of (s / study-01)
            :domain (p3 / person
                  :name (n3 / name
                        :op1 ""MSK0"")))
      :snt3 (w / wrong-04
            :ARG1 (t3 / thing
                  :name (n4 / name
                        :op1 ""MSK1""))
            :mod (j / just)))"
ad populum,ad populum,"# ::snt MSK0 notices that many of MSK0 have started MSK1 a low - carb diet and drinking protein shakes . MSK0 decides that if MSK2 are MSK1 this MSK3 that MSK4 must be the healthy MSK3 to MSK1 so MSK0 joins MSK2 . MSK4 is an example of which logical fallacy ? 
(m / multi-sentence
      :snt1 (n / notice-01
            :ARG0 (p / person
                  :name (n2 / name
                        :op1 ""MSK0""))
            :ARG1 (s / start-01
                  :ARG0 (p2 / person
                        :quant (m2 / many)
                        :ARG1-of (ii / include-91
                              :ARG2 (p3 / person
                                    :name (n3 / name
                                          :op1 ""MSK0""))))
                  :ARG1 (a / and
                        :op1 (d / diet
                              :mod (c / carbohydrate
                                    :ARG1-of (l / low-04)))
                        :op2 (d2 / drink-01
                              :ARG1 (s2 / shake
                                    :consist-of (p4 / protein))))))
      :snt2 (d3 / decide-01
            :ARG0 (p5 / person
                  :name (n4 / name
                        :op1 ""MSK0""))
            :ARG1 (o / obligate-01
                  :ARG1 (a2 / and
                        :op1 (h / have-mod-91
                              :ARG1 (t / thing
                                    :name (n5 / name
                                          :op1 ""MSK2""))
                              :ARG2 (t2 / thing
                                    :name (n6 / name
                                          :op1 ""MSK3"")
                                    :mod (t3 / this)))
                        :op2 (h2 / have-mod-91
                              :ARG1 t
                              :ARG2 t2)))
            :ARG0-of (c2 / cause-01
                  :ARG1 (j / join-01
                        :ARG0 p5
                        :ARG1 (t4 / thing
                              :name (n7 / name
                                    :op1 ""MSK2"")))))
      :snt3 (e / exemplify-01
            :ARG0 (t5 / thing
                  :name (n8 / name
                        :op1 ""MSK4""))
            :ARG1 (f / fallacy
                  :mod (l2 / logic)
                  :mod (a3 / amr-unknown))))"
ad hominem,ad hominem,"# ::snt Congressman Darell Issa calls White House Spokesperson Jay Carney a "" paid liar . "" 
(c / call-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Darell""
                  :op2 ""Issa"")
            :ARG0-of (h / have-org-role-91
                  :ARG1 (g / government-organization
                        :name (n2 / name
                              :op1 ""Congress""))
                  :ARG2 (c2 / congressman)))
      :ARG1 (p2 / person
            :name (n3 / name
                  :op1 ""Jay""
                  :op2 ""Carney"")
            :ARG0-of (h2 / have-org-role-91
                  :ARG1 (g2 / government-organization
                        :name (n4 / name
                              :op1 ""White""
                              :op2 ""House""))
                  :ARG2 (s / spokesman)))
      :ARG2 (p3 / person
            :ARG0-of (l / lie-08)
            :ARG2-of (p4 / pay-01)))"
fallacy of logic,fallacy of logic,"# ::snt If MSK0 have MSK1 , then MSK0 have seen MSK2 . MSK0 do n’t have MSK1 . Therefore , MSK0 have never seen MSK2 . 
(m / multi-sentence
      :snt1 (s / see-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p2 / person
                  :name (n2 / name
                        :op1 ""MSK2""))
            :condition (h / have-03
                  :ARG0 p
                  :ARG1 (t / thing
                        :name (n3 / name
                              :op1 ""MSK1""))))
      :snt2 (h2 / have-03
            :polarity -
            :ARG0 (p3 / person
                  :name (n4 / name
                        :op1 ""MSK0""))
            :ARG1 (t2 / thing
                  :name (n5 / name
                        :op1 ""MSK1""))
            :ARG0-of (c / cause-01
                  :ARG1 (s2 / see-01
                        :polarity -
                        :ARG0 p3
                        :ARG1 t2
                        :time (e / ever)))))"
false dilemma,false causality,"# ::snt If the country is ever going to be safe from terrorists we have to close the borders . 
(o / obligate-01
      :ARG1 (w / we)
      :ARG2 (c / close-01
            :ARG0 w
            :ARG1 (b / border))
      :condition (s / safe-01
            :ARG1 (c2 / country)
            :ARG2 (t / terrorist)
            :time (e / ever)))"
fallacy of extension,fallacy of credibility,"# ::snt In the debate at MSK0 , one of MSK1 MSK2 MSK3 argument that MSK4 MSK0 , proposed MSK6 MSK6 as a means to MSK6 unjust laws . MSK1 MSK2 MSK3 by saying , MSK5 MSK4 could never know that Adolph Hitler would agree with MSK4 . MSK5 A BETTER MSK2 would have been to … 
(m / multi-sentence
      :snt1 (p / propose-01
            :ARG0 (o / one
                  :ARG1-of (ii / include-91
                        :ARG2 (a / and
                              :op1 (t / thing
                                    :name (n / name
                                          :op1 ""MSK1""))
                              :op2 (t2 / thing
                                    :name (n2 / name
                                          :op1 ""MSK2""))
                              :op3 (t3 / thing
                                    :name (n3 / name
                                          :op1 ""MSK3"")))))
            :ARG1 (t4 / thing
                  :name (n4 / name
                        :op1 ""MSK6""))
            :manner (s / say-01
                  :ARG0 o
                  :ARG1 (p2 / possible-01
                        :polarity -
                        :ARG1 (k / know-01
                              :ARG0 (a2 / and
                                    :op1 (t5 / thing
                                          :name (n5 / name
                                                :op1 ""MSK5""))
                                    :op2 t3)
                              :ARG1 (a3 / agree-01
                                    :ARG0 (p3 / person
                                          :name (n6 / name
                                                :op1 ""Adolph""
                                                :op2 ""Hitler""))
                                    :ARG2 t5))
                        :time (e / ever)))
            :location (d / debate-01
                  :location (t6 / thing
                        :name (n7 / name
                              :op1 ""MSK0""))))
      :snt2 (h / have-degree-91
            :ARG1 (t7 / thing
                  :name (n8 / name
                        :op1 ""MSK5""))
            :ARG2 (g / good-02)
            :ARG3 (m2 / more)
            :ARG4 (t8 / thing
                  :name (n9 / name
                        :op1 ""MSK2""))))"
false causality,ad populum,"# ::snt Believing that "" runs "" occur to statistically independent phenomena such as routine wheel spirits . 
(b / believe-01
      :ARG1 (r / run-16
            :ARG1 (p / phenomenon
                  :ARG0-of (d / depend-01
                        :polarity -
                        :ARG1 (s / statistic))
                  :example (s2 / spirit
                        :mod (w / wheel)
                        :mod (r2 / routine)))))"
appeal to emotion,appeal to emotion,"# ::snt If MSK0 write to MSK1 and tell MSK1 : "" MSK1 , MSK2 know MSK2 have n't done any of the assignments , but MSK2 need a C anyway because MSK2 'm asking nicely and MSK2 'm good person , and MSK2 'm going to get in trouble if MSK0 do n't . "" 
(h / have-condition-91
      :ARG2 (a / and
            :op1 (w / write-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG2 (p2 / person
                        :name (n2 / name
                              :op1 ""MSK1"")))
            :op2 (t / tell-01
                  :ARG0 p
                  :ARG1 (c / contrast-01
                        :ARG1 (k / know-01
                              :ARG0 (a2 / and
                                    :op1 p2
                                    :op2 (p3 / person
                                          :name (n3 / name
                                                :op1 ""MSK2"")))
                              :ARG1 (d / do-02
                                    :polarity -
                                    :ARG0 p3
                                    :ARG1 (t2 / thing
                                          :ARG1-of (a3 / assign-01)
                                          :mod (a4 / any))))
                        :ARG2 (n4 / need-01
                              :ARG0 p3
                              :ARG1 (s / string-entity
                                    :value ""C"")
                              :mod (a5 / anyway)
                              :ARG1-of (c2 / cause-01
                                    :ARG0 (a6 / and
                                          :op1 (a7 / ask-01
                                                :ARG0 p3
                                                :ARG1-of (n5 / nice-01))
                                          :op2 (g / good-02
                                                :ARG1 p3)
                                          :op3 (ii / in-trouble-02
                                                :ARG1 p3
                                                :condition (d2 / do-02
                                                      :polarity -
                                                      :ARG0 (p4 / person
                                                            :name (n6 / name
                                                                  :op1 ""MSK0""))
                                                      :ARG1 t2))))))
                  :ARG2 p2)))"
fallacy of extension,fallacy of extension,"# ::snt Charlie : Illegal posting and MSK2 of songs online is crippling MSK0 . MSK1 : MSK1 could n't be more wrong ; MSK0 is doing just fine . MSK1 ca n't believe MSK1 think the government should be allowed to regulate what MSK1 MSK2 with MSK1 "" friends . "" No one wants a world where MSK1 ca n't loan a book to MSK1 girlfriend , let MSK1 roommate borrow MSK1 iPod , or MSK2 a funny meme with MSK1 blog followers . 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Charlie""))
            :ARG1 (c / cripple-01
                  :ARG0 (a / and
                        :op1 (p2 / post-01
                              :ARG1 (s2 / song)
                              :ARG2 (o / online)
                              :ARG1-of (l / legal-02
                                    :polarity -))
                        :op2 (t / thing
                              :name (n2 / name
                                    :op1 ""MSK2"")))
                  :ARG1 (p3 / person
                        :name (n3 / name
                              :op1 ""MSK1""))))
      :snt2 (a2 / and
            :op1 (p4 / possible-01
                  :polarity -
                  :ARG1 (w / wrong-04
                        :ARG1 (p5 / person
                              :name (n4 / name
                                    :op1 ""MSK1""))
                        :ARG2-of (h / have-degree-91
                              :ARG1 p5
                              :ARG3 (m2 / more))))
            :op2 (d / do-02
                  :ARG0 (p6 / person
                        :name (n5 / name
                              :op1 ""MSK0""))
                  :ARG1-of (f / fine-04
                        :mod (j / just))))
      :snt3 p4
      :polarity -
      :ARG1 (b / believe-01
            :ARG0 (p7 / person
                  :name (n6 / name
                        :op1 ""MSK1""))
            :ARG1 (t2 / think-01
                  :ARG0 p7
                  :ARG1 (r / recommend-01
                        :ARG1 (a3 / allow-01
                              :ARG1 (r2 / regulate-01
                                    :ARG0 (g / government-organization
                                          :ARG0-of (g2 / govern-01))
                                    :ARG1 (a4 / and
                                          :op1 (t3 / thing
                                                :name (n7 / name
                                                      :op1 ""MSK1""))
                                          :op2 (t4 / thing
                                                :name (n8 / name
                                                      :op1 ""MSK2""))
                                          :accompanier (p8 / person
                                                :ARG0-of (h2 / have-rel-role-91
                                                      :ARG1 p7
                                                      :ARG2 (f2 / friend)))))))))
      :snt4 (w2 / want-01
            :ARG0 (n9 / no-one)
            :ARG1 (w3 / world
                  :location-of p4
                  :polarity -
                  :ARG1 (o2 / or
                        :op1 (l2 / loan-01
                              :ARG0 (p9 / person
                                    :name (n10 / name
                                          :op1 ""MSK1""))
                              :ARG1 (b2 / book)
                              :ARG2 (p10 / person
                                    :ARG0-of h2
                                    :ARG1 p9
                                    :ARG2 (g3 / girlfriend))))
                  :op2 (l3 / let-01
                        :ARG0 p9
                        :ARG1 (b3 / borrow-01
                              :ARG0 p9
                              :ARG1 (p11 / product
                                    :name (n11 / name
                                          :op1 ""MSK1""
                                          :op2 ""iPod""))
                              :ARG2 p11)))
            :op3 (l4 / loan-01
                  :ARG0 p9
                  :ARG1 p11
                  :ARG2 p10)
            :op4 (m3 / meme
                  :ARG1-of (f3 / funny-02))))"
false dilemma,false dilemma,"# ::snt MSK0 or hate MSK0 . 
(o / or
      :op1 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :op2 (h / hate-01
            :ARG1 p))"
false causality,false causality,"# ::snt MSK0 The economy has improved greatly because of the new president . MSK0 
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :snt2 (ii / improve-01
            :ARG0 (p2 / person
                  :ARG0-of (h / have-org-role-91
                        :ARG2 (p3 / president))
                  :ARG1-of (n2 / new-01))
            :ARG1 (e / economy)
            :degree (g / great)))"
appeal to emotion,faulty generalization,"# ::snt MSK0 is part of the Jackson Five . Without Tito and company , MSK0 will never make it . 
(m / multi-sentence
      :snt1 (h / have-org-role-91
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (o / organization
                  :name (n2 / name
                        :op1 ""Jackson""
                        :op2 ""Five""))
            :ARG2 (p2 / part))
      :snt2 (m2 / make-it-14
            :polarity -
            :ARG0 p
            :time (e / ever)
            :condition (a / accompany-01
                  :polarity -
                  :ARG0 (a2 / and
                        :op1 (p3 / person
                              :name (n3 / name
                                    :op1 ""Tito""))
                        :op2 (c / company))
                  :ARG1 p)))"
appeal to emotion,appeal to emotion,"# ::snt MSK0 wakes up one morning to find that MSK0 has just MSK1 through MSK0 . MSK0 emails MSK0 teacher and asks if MSK0 can make up MSK2 . MSK0 states that MSK0 deserves to take MSK2 over because MSK0 did n't MSK1 well because MSK0 boyfriend just broke up with MSK0 , MSK0 dog is sick and MSK0 stained MSK0 favorite dress . What fallacy is this ? 
(m / multi-sentence
      :snt1 (w / wake-up-02
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG3 (f / find-01
                  :ARG0 p
                  :ARG1 (h / have-03
                        :ARG0 p
                        :ARG1 (t / thing
                              :name (n2 / name
                                    :op1 ""MSK1""))
                        :mod (j / just)
                        :path (t2 / thing
                              :name (n3 / name
                                    :op1 ""MSK0""))))
            :time (d / date-entity
                  :dayperiod (m2 / morning)
                  :mod (o / one)))
      :snt2 (a / and
            :op1 (e / email-01
                  :ARG0 p
                  :ARG2 (p2 / person
                        :ARG0-of (t3 / teach-01)))
            :op2 (a2 / ask-01
                  :ARG0 p
                  :ARG1 (t4 / truth-value
                        :polarity-of (p3 / possible-01
                              :ARG1 (m3 / make-up-16
                                    :ARG0 p
                                    :ARG1 (t5 / thing
                                          :name (n4 / name
                                                :op1 ""MSK2"")))))))
      :snt3 (s / state-01
            :ARG0 (p4 / person
                  :name (n5 / name
                        :op1 ""MSK0""))
            :ARG1 (d2 / deserve-01
                  :ARG0 p4
                  :ARG1 (t6 / take-over-12
                        :ARG0 p4
                        :ARG1 (t7 / thing
                              :name (n6 / name
                                    :op1 ""MSK2""))
                        :ARG1-of (c / cause-01
                              :ARG0 (a3 / and
                                    :op1 (b / break-up-08
                                          :ARG1 (p5 / person
                                                :ARG0-of (h2 / have-rel-role-91
                                                      :ARG1 p4
                                                      :ARG2 (b2 / boyfriend)))
                                          :ARG2 p
                                          :time (j2 / just))
                                    :op2 (s2 / sick-05
                                          :ARG1 (d3 / dog
                                                :poss p4))
                                    :op3 (s3 / stain-01
                                          :ARG1 (d4 / dress
                                                :mod (f2 / favorite)
                                                :poss p4)))))))
      :snt4 (f3 / fallacy
            :domain (t8 / this)
            :mod (a4 / amr-unknown)))"
fallacy of relevance,fallacy of logic,"# ::snt "" The research MSK0 found on cell MSK1 use in the classroom suggests that MSK2 can be distracted when MSK2 have access to texting . This leads MSK0 to believe that MSK3 should not be allowed to have MSK3 MSK1 on MSK3 at school anytime . 
(m / multi-sentence
      :snt1 (s / suggest-01
            :ARG0 (r / research-01
                  :ARG1 (u / use-01
                        :ARG1 (p / product
                              :name (n / name
                                    :op1 ""MSK1"")
                              :mod (c / cell))
                        :location (c2 / classroom))
                  :ARG1-of (f / find-01
                        :ARG0 (p2 / person
                              :name (n2 / name
                                    :op1 ""MSK0""))))
            :ARG1 (p3 / possible-01
                  :ARG1 (d / distract-01
                        :ARG0 (a / access-01
                              :ARG0 (p4 / person
                                    :name (n3 / name
                                          :op1 ""MSK2""))
                              :ARG1 (t / text-01))
                        :ARG1 p4)))
      :snt2 (l / lead-03
            :ARG0 (t2 / this)
            :ARG1 p2
            :ARG2 (b / believe-01
                  :ARG0 p2
                  :ARG1 (r2 / recommend-01
                        :polarity -
                        :ARG1 (a2 / allow-01
                              :ARG1 (h / have-03
                                    :ARG0 (p5 / person
                                          :name (n4 / name
                                                :op1 ""MSK3""))
                                    :ARG1 (a3 / and
                                          :op1 (p6 / product
                                                :name (n5 / name
                                                      :op1 ""MSK3""))
                                          :op2 (p7 / product
                                                :name (n6 / name
                                                      :op1 ""MSK1"")))
                                    :location (s2 / school)
                                    :time (a4 / anytime)))))))"
fallacy of credibility,fallacy of credibility,"# ::snt MSK0 : For five generations , the men in MSK2 went to MSK3 and became MSK4 , while the women got married and raised children . Therefore , MSK3 is MSK5 duty to become a MSK4 . MSK6 : Do MSK6 want to become a MSK4 ? MSK0 : MSK3 does n’t matter -- MSK3 is MSK2 tradition . Who am MSK5 to break MSK3 ? 
(m / multi-sentence
      :snt1 (a / and
            :op1 (g / go-01
                  :ARG1 (m2 / man
                        :mod (t / thing
                              :name (n / name
                                    :op1 ""MSK2"")))
                  :ARG4 t
                  :duration (g2 / generation
                        :quant 5))
            :op2 (b / become-01
                  :ARG1 m2
                  :ARG2 (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK4""))
                  :time (a2 / and
                        :op1 (m3 / marry-01
                              :ARG1 (w / woman))
                        :op2 (r / raise-03
                              :ARG0 w
                              :ARG1 (c / child)))))
      :snt2 (c2 / cause-01
            :ARG0 (a3 / and
                  :op1 (m4 / matter-01
                        :polarity -
                        :ARG1 (t3 / thing
                              :name (n3 / name
                                    :op1 ""MSK3"")))
                  :op2 (t4 / tradition
                        :mod t3))
            :ARG1 (a4 / amr-unknown
                  :domain (t5 / thing
                        :name (n4 / name
                              :op1 ""MSK5"")
                        :ARG0-of (b2 / break-01
                              :ARG1 t3))))
      :snt3 (o / obligate-01
            :ARG1 (t6 / thing
                  :name (n5 / name
                        :op1 ""MSK3""))
            :ARG2 (b3 / become-01
                  :ARG1 t6
                  :ARG2 (t7 / thing
                        :name (n6 / name
                              :op1 ""MSK4""))))
      :snt4 (w2 / want-01
            :ARG0 (t8 / thing
                  :name (n7 / name
                        :op1 ""MSK6""))
            :ARG1 (b4 / become-01
                  :ARG1 t8
                  :ARG2 (t9 / thing
                        :name (n8 / name
                              :op1 ""MSK4"")))
            :polarity a4))"
faulty generalization,false causality,"# ::snt MSK0 : Watching TV that close will make you go blind , so move back ! Jonny : That is B.S. , MSK0 . Sorry , I am not moving . 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (c / cause-01
                  :ARG0 (w / watch-01
                        :ARG0 (y / you)
                        :ARG1 (t / television)
                        :ARG1-of (c2 / close-10
                              :degree (t2 / that)))
                  :ARG1 (g / go-08
                        :ARG1 y
                        :ARG2 (b / blind-02
                              :ARG1 y)))
            :ARG2 (p2 / person
                  :name (n2 / name
                        :op1 ""Jonny"")))
      :snt2 (s2 / say-01
            :ARG0 (ii / i)
            :ARG1 (b2 / bullshit
                  :domain (t3 / that))
            :ARG2 (p3 / person
                  :name (n3 / name
                        :op1 ""MSK0""))
            :ARG2-of (s3 / sorry-01
                  :ARG1 ii
                  :ARG2 (m2 / move-01
                        :polarity -
                        :ARG0 ii))))"
