source_article,updated_label,masked_articles
"I must be telling the truth, since I’m not lying.",circular reasoning,"MSK<0> must be telling the truth , since MSK<0> ’m not lying . "
"Speaker 1: I think we should have an expanded social safety net for the poor in our country.
Speaker 2: So, you think we should just throw money at lazy people who don’t want to work and think they are entitled to be kept up by other people, right?",fallacy of extension,"MSK<4> : I MSK<1> MSK<2> should have an expanded social safety net for the poor in MSK<2> country . MSK<4> : So , you MSK<1> MSK<2> should just throw money at lazy MSK<3> who do n’t want to work and MSK<1> they are entitled to be kept up by other MSK<3> , right ? "
"The Bible is the Word of God because God tells us it is... in the Bible.

X is true because of Y.
Y is true because of X.",circular reasoning,MSK<0> is the Word of MSK<1> because MSK<1> tells us MSK<0> is ... in MSK<0> . MSK<3> is MSK<2> because of Y. Y is MSK<2> because of MSK<3> 
"""He just says that because he's a Republican.""",ad hominem,""" MSK<0> just says that because MSK<0> 's a Republican . "" "
"We haven’t found King David’s tomb, so King David didn’t really exist.",intentional,"We have n’t found MSK<0> tomb , so MSK<0> did n’t really exist . "
"Today late for ten minutes, tomorrow late for an hour, and then someday you will simply cease to show up.",faulty generalization,"MSK<0> for ten minutes , MSK<0> for an hour , and then someday you will simply cease to show up . "
We cannot approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.,ad hominem,We can not approve of this recycling idea . It was thought of by a bunch of hippie communist weirdos . 
"There are so many experiences in the human realm that are wonderful. Sexual intimacy between two willing adults who love each other is wonderful. A therapist helping a client is wonderful. When the relationship between a therapist and client is so deep that it could be characterized as love, it's wonderful. When all these acts become part of one process between two people, it must be exceptionally wonderful. How could anyone condemn such a wonderfully human process as unethical?",faulty generalization,"There are so many experiences in the MSK<0> realm that are MSK<1> . Sexual intimacy between two willing adults who MSK<2> each other is MSK<1> . A therapist helping a client is MSK<1> . When MSK<3> is so deep that MSK<3> could be characterized as MSK<2> , MSK<3> 's MSK<1> . When all these acts become part of one MSK<4> between two people , it must be exceptionally MSK<1> . How could anyone condemn such a wonderfully MSK<0> MSK<4> as unethical ? "
"That candidate wants to raise the minimum wage, but they aren't even smart enough to run a business.",ad hominem,"MSK<0> wants to raise the minimum wage , but MSK<0> are n't even smart enough to run a business . "
My uncle is a mechanic and he says you shouldn't spank children. He says it's ineffective.,fallacy of credibility,MSK<0> is a mechanic and MSK<0> says you should n't spank children . MSK<0> says it 's ineffective . 
"If I say that a surgeon should be allowed to use a guidebook to carry out surgery like a student can use open notes on a test, I have made a",fallacy of logic,"If MSK<0> say that a surgeon should be allowed to MSK<1> a guidebook to carry out surgery like a student can MSK<1> open notes on a test , MSK<0> have made a "
"""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?""",ad hominem,""" Do n't listen to MSK<0> when MSK<0> says walk in the hallways . How can MSK<0> trust someone who wears bow ties ? "" "
", if everyone else is doing something, it must be right/good.",ad populum,", if everyone else is doing something , it must be right / good . "
"There must be objective rights and wrongs in the universe. If not, how can you possibly say that torturing babies for fun could ever be right?",appeal to emotion,"There must be objective rights and wrongs in the universe . If not , how can you possibly say that torturing babies for fun could ever be right ? "
In many cases you can't really tell whether patients are improving because of what the therapist is doing or because of the placebo effect—there's a fuzzy line separating the two--so we must conclude that they are actually the same mechanism of improvement.,equivocation,In many cases you ca n't really tell whether MSK<0> are MSK<1> because of what the therapist is doing or because of the placebo effect — there 's a fuzzy line separating the two -- so we must conclude that MSK<0> are actually the same mechanism of MSK<1> . 
"This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!",ad populum,"MSK<0> claims that MSK<0> 've served MSK<1> , so MSK<0> must have the best hamburger in town . MSK<1> ca n't be wrong ! "
"""You cannot detain me. I am still grieving my cat's death.""",appeal to emotion,""" You can not detain MSK<0> . MSK<0> am still grieving MSK<0> cat 's death . "" "
I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor.,false causality,MSK<0> 'm moving to MSK<1> because MSK<1> is the richest state in MSK<1> and MSK<0> 'm tired of being poor . 
"Wilma: You cheated on your income tax. Don't you realize that's wrong
Walter: Hey, wait a minute. You cheated on your income tax last year. Or have you forgotten about that?",ad hominem,"MSK<0> : MSK<0> MSK<1> on MSK<2> . Do n't MSK<0> realize that 's wrong Walter : Hey , wait a minute . MSK<0> MSK<1> on MSK<2> last year . Or have MSK<0> forgotten about that ? "
"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",ad populum,"MSK<0> wants MSK<0> to break into the spooky cabin with MSK<0> . MSK<1> Everyone does it , MSK<1> MSK<0> claims . What fallacy has MSK<0> committed ? "
Old Major's speech claiming that ALL the animals will unite and revolt against the humans,ad populum,Old Major 's speech claiming that ALL the animals will unite and revolt against the humans 
Words with strong feelings that bring about feelings in the reader. Strong words (+ or -) specifically used to sway the reader,appeal to emotion,MSK<0> with MSK<1> MSK<2> that bring about MSK<2> in MSK<3> . MSK<1> MSK<0> ( + or - ) specifically used to sway MSK<3> 
"Trisha: In an interview, your candidate admitted that he was a thief!
Derek: He actually said that when he was three years old, he stole a lollipop from a store, and felt so guilty, that he never stole anything again.
",intentional,"Trisha : In an interview , MSK<0> admitted that MSK<0> was a thief ! Derek : MSK<0> actually said that when MSK<0> was three years old , MSK<0> MSK<1> a lollipop from a store , and felt so guilty , that MSK<0> never MSK<1> anything again . "
Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.,false causality,MSK<0> went to go swimming for the afternoon and later bought a lottery ticket . MSK<0> MSK<2> makes you MSK<2> . 
Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.,faulty generalization,Some MSK<0> in our community recently vandalized the park downtown . MSK<0> are so irresponsible and destructive . 
What persuasive technique is being used in this photo?,ad populum,What persuasive technique is being used in this photo ? 
"There are no good restaurants in New York; I tried two in Times Square, and they were awful.",faulty generalization,"There are no good restaurants in New York ; I tried two in Times Square , and they were awful . "
You know Jane Fonda’s exercise videos must be worth the money. Look at the great shape she’s in.,false causality,You know Jane Fonda ’s exercise videos must be worth the money . Look at the great shape she ’s in . 
We can either stop using cars or destroy the earth.,false dilemma,We can either stop using cars or destroy the earth . 
"Radio talk show host, on learning that an association of critical thinking professors had suggested his show as a source of fallacious reasoning: “Who are these people? They talk to maybe 30 people at a time. I talk to 5 million people every day. They could not begin to do what I do. They are just gnats flying around getting in the way.”",fallacy of relevance,"Radio MSK<0> show host , on learning that an association of critical thinking professors had suggested his show as a source of fallacious reasoning : MSK<4> Who are MSK<1> ? MSK<1> MSK<0> to maybe 30 MSK<2> at a time . MSK<3> MSK<0> to 5 million MSK<2> every day . MSK<1> could not begin to do what MSK<3> do . MSK<1> are just gnats flying around getting in the way . MSK<4> "
"Oh, please. What would you know about labor laws? You don’t even have a job.",ad hominem,"Oh , please . What would MSK<0> know about labor laws ? MSK<0> do n’t even have a job . "
"""University of Virginia professor [Charlotte] Patterson, considered a leading researcher in the field, says she has reviewed 22 studies involving offspring of gays ranging from toddlers to adults. She found none convincing [sic] that the children had suffered or were more than normally inclined to be gay. [...] Conservatives discredit Patterson by pointing out that she is an acknowledged lesbian, with a presumed ideological interest in the subject she studies.""",ad hominem,""" MSK<0> , considered a leading researcher in the field , says MSK<1> has reviewed 22 MSK<2> involving offspring of MSK<3> ranging from toddlers to adults . MSK<1> found none convincing [ sic ] that the children had suffered or were more than normally inclined to be MSK<3> . [ ... ] Conservatives discredit MSK<0> by pointing out that MSK<1> is an acknowledged lesbian , with a presumed ideological interest in the subject MSK<1> MSK<2> . "" "
"Same-sex marriage must be prohibited, or the family structure as we know it will  collapse.",appeal to emotion,"MSK<0> must be prohibited , or the family structure as we know MSK<0> will collapse . "
"Girl:"" I'm worried that my friend is mad at me.""
Friend: ""I wonder what you call a male lady bug?""",fallacy of logic,"Girl : "" MSK<0> 'm worried that MSK<0> MSK<1> is mad at MSK<0> . "" MSK<1> : "" MSK<0> wonder what you call a male lady bug ? "" "
"All babysitters have pimples.
All babysitter club members are babysitters.
Therefore, some babysitter club members have pimples.Example #2:
All forest creatures live in the woods.
All leprechauns are forest creatures.
Therefore, some leprechauns live in the woods.",fallacy of logic,"All MSK<0> have MSK<8> . All MSK<0> MSK<2> are MSK<0> . Therefore , some MSK<0> MSK<2> have MSK<8> # 2 : All MSK<4> MSK<5> in MSK<6> . All MSK<7> are MSK<4> . Therefore , some MSK<7> MSK<5> in MSK<6> . "
"Kent: My new car is really fast.

Cal: I doubt that it is as fast as a jet fighter so, therefore, it is not fast.",fallacy of extension,"Kent : MSK<0> is really MSK<1> . Cal : MSK<0> doubt that MSK<2> is as MSK<1> as a jet fighter so , therefore , MSK<2> is not MSK<1> . "
You're wrong because you're ugly!,ad hominem,MSK<0> 're wrong because MSK<0> 're ugly ! 
"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important!",false causality,"Every time that MSK<0> crows , the sun comes up . MSK<0> must be very powerful and important ! "
Someone who says something which does not flow logically in the conversation is guilty of using:,fallacy of logic,Someone who says something which does not flow logically in the conversation is guilty of using : 
"If you don't say the pledge of allegiance, then you must be a traitor.",false dilemma,"If MSK<0> do n't say the pledge of allegiance , then MSK<0> must be a traitor . "
Nobody thinks homelessness is a good thing.,faulty generalization,Nobody thinks homelessness is a good thing . 
“We shouldn’t even bother to interview that job applicant. He has a beard.”,ad hominem,MSK<0> We should n’t even bother to interview that job applicant . He has a beard . MSK<0> 
People are like dogs. They respond best to clear discipline.,fallacy of logic,MSK<0> are like dogs . MSK<0> respond best to clear discipline . 
My phone charger is broken because it doesn't work.,circular reasoning,MSK<0> is broken because MSK<0> does n't work . 
"It looks like the waiter forgot to charge us for the expensive bottle of champagne.  Let’s just leave -- after all, if he overcharged us, I doubt he would chase us down to give us our money back that we overpaid.",fallacy of relevance,"It looks like MSK<0> forgot to charge MSK<1> for the expensive bottle of champagne . Let ’s just leave -- after all , if MSK<0> overcharged MSK<1> , MSK<0> doubt MSK<0> would chase MSK<1> down to give MSK<1> MSK<1> money back that MSK<1> overpaid . "
"Superstition is a belief or practice resulting from ignorance, fear of the unknown, trust in magic or chance, or a false conception of causation -- unless it is astrology.",intentional,"MSK<0> is a belief or practice resulting from ignorance , fear of the unknown , trust in magic or chance , or a false conception of causation -- unless MSK<0> is astrology . "
Student tells his professor that he thinks some of Donald Trump's positions have merit. Professor says he can't believe that the student believes in support racism.,fallacy of extension,MSK<0> tells MSK<0> MSK<1> that MSK<0> thinks some of Donald Trump 's positions have merit . MSK<1> says MSK<0> ca n't MSK<2> that MSK<0> MSK<2> in support racism . 
AttP 11: It is okay to walk across Mr. Jones's property as evidenced by other people walking on his property.,ad populum,AttP 11 : It is okay to MSK<0> across MSK<1> as evidenced by other people MSK<0> on MSK<1> . 
"“Your coach’s policy is that no one can be a starter on game day if they miss practice. So, if you miss basketball practice today, you won’t be a starter in Friday’s game. Then you won’t be the first freshman to start on the Varsity basketball team at our school.”'",faulty generalization,"MSK<7> MSK<0> coach ’s policy is that no one can be a MSK<1> on MSK<2> day if they MSK<3> MSK<4> . So , if MSK<0> MSK<3> MSK<5> MSK<4> today , MSK<0> wo n’t be a MSK<1> in Friday ’s MSK<2> . Then MSK<0> wo n’t be the first freshman to start on the MSK<6> MSK<5> team at MSK<6> school . MSK<7> ' "
The is zero doubt that she has the condition. She scored high on two separate diagnostic tests for it and both tests have shown extremely high validity. That proves she has it.,fallacy of relevance,The is zero doubt that MSK<0> has MSK<1> . MSK<0> scored MSK<2> on two separate diagnostic MSK<3> for MSK<1> and both MSK<3> have shown extremely MSK<2> validity . MSK<1> proves MSK<0> has MSK<1> . 
Which of the following is true?,fallacy of relevance,Which of the following is true ? 
"“Don’t worry about eating fast food. After all, millions of Americans eat it every day.”",ad populum,"MSK<1> Do n’t worry about MSK<0> fast food . After all , millions of Americans MSK<0> it every day . MSK<1> "
"Violence among teens has risen the last five years. Video game playing among teens has also risen the last five years. Therefore, playing video games causes teens to be violent.",false causality,"MSK<6> among MSK<0> has MSK<2> . MSK<4> MSK<5> among MSK<0> has also MSK<2> . Therefore , MSK<5> MSK<4> causes MSK<0> to be MSK<6> . "
"“If America doesn’t send weapons to the Syrian rebels, they won’t be able to defend themselves against their warring dictator. They’ll lose their civil war, and that dictator will oppress them, and the Soviets will consequently carve out a sphere of influence that spreads across the entire Middle East.",faulty generalization,"“ If MSK<0> does n’t send weapons to the Syrian rebels , MSK<0> wo n’t be able to defend MSK<0> against MSK<0> MSK<1> MSK<2> . MSK<0> ’ll lose MSK<0> civil MSK<1> , and that MSK<2> will oppress MSK<0> , and the Soviets will consequently carve out a sphere of influence that spreads across the entire Middle East . "
"I believe in supernatural beings because every time I drive past the cemetery where  my grandmother is buried, a light on my dashboard flashes.  Her spirit causes this because it never happens otherwise.",false causality,"MSK<0> believe in supernatural beings because every time MSK<0> drive past the cemetery where MSK<0> grandmother is buried , a light on MSK<0> dashboard flashes . MSK<1> causes this because MSK<1> never happens otherwise . "
"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think, and they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)",false dilemma,"MSK<0> 've got to MSK<1> the boys MSK<2> ! If MSK<0> do n't MSK<1> MSK<3> MSK<2> , MSK<3> wo n't learn how to think , and MSK<3> 'll become hobos and die in prison ! Do n't MSK<0> care about MSK<0> sons ? ( MSK<4> to MSK<4> ) "
"Bill, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",ad hominem,"MSK<0> , MSK<0> drive a beat - up car from the 1980s . For this reason , we can never allow MSK<0> to be a lifeguard at the community pool . "
"If it was raining outside, it would be dark. It’s dark outside, so it must be raining.",fallacy of logic,"If MSK<0> was MSK<1> MSK<2> , MSK<0> would be MSK<3> . MSK<0> ’s MSK<3> MSK<2> , so MSK<0> must be MSK<1> . "
Our gang will beat up anyone who doesn’t vote our way,appeal to emotion,MSK<0> gang will beat up anyone who does n’t vote MSK<0> way 
"Person 1: I think pollution is the cause of climate change.

Person 2: So you think humans cause hurricanes and tornadoes and tsunamis?",fallacy of extension,MSK<3> : I MSK<1> pollution is the MSK<2> of climate change . MSK<3> : So you MSK<1> humans MSK<2> MSK<4> and MSK<4> and tsunamis ? 
"Everything I say is true. This is true because I said it, and everything I say is true.",circular reasoning,"Everything MSK<0> say is MSK<1> . MSK<2> is MSK<1> because MSK<0> said MSK<2> , and everything MSK<0> say is MSK<1> . "
"Falsely requiring an opponent to “disprove” instead
of you “proving” your argument",intentional,Falsely requiring an opponent to MSK<0> disprove MSK<0> instead of MSK<1> MSK<0> proving MSK<0> MSK<1> argument 
"Joe and Sam are at the race track betting on horses. Joe: ""You see that horse over there? He lost his last four races. I'm going to bet on him.""
Sam: ""Why? I think he will probably lose.""
Joe: ""No way, Sam. I looked up the horse's stats and he has won half his races in the past two years. Since he has lost three of his last four races, he'll have to win this race. So I'm betting the farm on him.""
Sam: ""Are you sure?""
Joe: ""Of course I'm sure. That pony is due, man...he's due!""",false causality,"MSK<0> and MSK<1> are at the MSK<2> track MSK<3> on MSK<4> . MSK<0> : "" MSK<0> see that MSK<4> over there ? MSK<5> MSK<6> coref4 . MSK<7> 'm going to MSK<3> on MSK<5> . "" MSK<1> : "" Why ? MSK<7> think MSK<5> will probably MSK<6> . "" MSK<0> : "" No way , MSK<1> . MSK<7> looked up the MSK<4> 's stats and MSK<8> has MSK<6> half MSK<8> MSK<2> in the past two years . Since MSK<8> has MSK<6> three of MSK<8> , MSK<8> 'll have to MSK<6> this MSK<2> . So MSK<7> 'm MSK<3> the farm on MSK<8> . "" MSK<1> : "" Are MSK<8> MSK<9> ? "" MSK<0> : "" Of course I 'm MSK<9> . That MSK<4> is due , man ... MSK<8> 's due ! "" "
"If Hunter was human, he would be mortal. Hunter is mortal. Therefore, Hunter is a human.",fallacy of logic,"If MSK<0> was MSK<1> , MSK<0> would be MSK<2> . MSK<0> is MSK<2> . Therefore , MSK<0> is a MSK<1> . "
we should not build bike lanes because cyclists run red lights,fallacy of extension,we should not build MSK<0> lanes because MSK<0> run red lights 
"If we let this child bring the permission slip late, there is no reason to ever set a deadline for anything again!",faulty generalization,"If we let this child bring the permission slip late , there is no reason to ever set a deadline for anything again ! "
"If you don’t expose your child to germs, he will never get sick. Therefore, he will never build up his immune system to fight illness. He will grow up to be a sickly adult.",faulty generalization,"If MSK<0> do n’t expose MSK<0> child to germs , MSK<1> will never get sick . Therefore , MSK<1> will never build up MSK<1> immune system to fight illness . MSK<1> will grow up to be a sickly adult . "
"Donald Trump Jr. Tweeted:
If I had a bowl of skittles and I told you just three would kill you. Would you take a handful? That's our Syrian refugee problem.
",faulty generalization,Donald Trump Jr. . Tweeted : If MSK<0> had a bowl of skittles and MSK<0> told MSK<1> just three would kill MSK<1> . Would MSK<1> take a handful ? That 's our Syrian refugee problem . 
No one should believe our dear lady Senator who have had an adulterous relationship.,ad hominem,No one should believe our dear lady Senator who have had an adulterous relationship . 
"For want of a nail the shoe was lost.
For want of a shoe the horse was lost.
For want of a horse the rider was lost.
For want of a rider the battle was lost.
For want of a battle the kingdom was lost.
And all for the want of a nail.
“For Want of a Nail,” medieval proverb",faulty generalization,"For MSK<0> of a nail the MSK<1> was MSK<2> . For MSK<0> of a MSK<1> the MSK<3> was MSK<2> . For MSK<0> of a MSK<3> the MSK<4> was MSK<2> . For MSK<0> of a MSK<4> the MSK<5> was MSK<2> . For MSK<0> of a MSK<5> the kingdom was MSK<2> . And all for the MSK<0> of MSK<6> . MSK<7> For MSK<0> of MSK<6> , MSK<7> medieval proverb "
We believe on what we believe in.,intentional,MSK<1> on what MSK<1> in . 
"I should receive an 'A' in this class. After all, if I don't get an 'A' I won't get the fellowship that I want.",appeal to emotion,"MSK<0> should receive an ' A ' in this class . After all , if MSK<0> do n't get an ' A ' MSK<0> wo n't get the fellowship that MSK<0> want . "
"Every time my brother Bill accompanies me to Fenway Park, the Red Sox are sure to lose",false causality,"Every time MSK<0> brother Bill accompanies MSK<0> to Fenway Park , the Red Sox are sure to lose "
"Maria has been working at her current job for more than 30 years at the same wage. She desperately wants a raise so she approaches her boss to ask for one. She says, ""You are one of the kindest people I know. You are smart and good-looking and I really love your shoes.""",appeal to emotion,"MSK<0> has been MSK<1> at MSK<0> current MSK<1> for more than 30 years at the same wage . MSK<0> desperately wants a raise so MSK<0> approaches MSK<0> boss to ask for one . MSK<0> says , "" MSK<0> are one of the kindest people MSK<0> know . MSK<0> are smart and good - looking and MSK<0> really love MSK<0> shoes . "" "
I asked six of my friends what they thought of the new spending restraints and they agreed it is a good idea. The new restraints are therefore generally popular.,faulty generalization,MSK<0> asked six of MSK<0> what MSK<1> thought of MSK<2> and MSK<1> agreed it is a good idea . MSK<2> are therefore generally popular . 
There's no point listening to your opinion on school lunches. Everybody knows you cheat on your math tests.,ad hominem,There 's no point listening to MSK<0> opinion on school lunches . Everybody knows MSK<0> cheat on MSK<0> math tests . 
OJ Simpson couldn't have murdered his wife. He's in the Pro Football Hall of Fame. He's famous!,fallacy of relevance,MSK<0> could n't have murdered MSK<0> wife . MSK<0> 's in the Pro Football Hall of Fame . MSK<0> 's famous ! 
"""Every time I forget my lunch bag, school ends early"" is an example of",false causality,""" Every time MSK<0> forget MSK<0> lunch bag , school ends early "" is an example of "
"In our psychology department, half of the faculty believe that the new assistant professor shows serious problems in the area of ethics. The other half believe that the new faculty member shows no problems in the area of ethics. Obviously the new professor shows mild to moderate problems in the area of ethics.",fallacy of relevance,"In our psychology department , MSK<1> that MSK<2> shows serious MSK<3> in MSK<4> . MSK<1> that the new faculty member shows no MSK<3> in MSK<4> . Obviously MSK<2> shows mild to moderate MSK<3> in MSK<4> . "
"Daughter: Mom, I want that doll!
Mom: Let's get home and I'll get you a popsicle!
Daughter: Ooh, popsicle!",fallacy of relevance,"MSK<0> : MSK<1> , MSK<2> want that doll ! MSK<1> : Let 's get home and MSK<2> 'll get you a MSK<3> ! MSK<0> : Ooh , MSK<3> ! "
Why are you criticizing the Anti-Terror Law? Are you a terrorist?,fallacy of extension,Why are MSK<0> criticizing the Anti-Terror Law ? Are MSK<0> a terrorist ? 
"Your friend says, ""You can't prove that space aliens don't exist, so they must be real."" This is an example of which logical fallacy?",intentional,"MSK<0> says , "" MSK<0> ca n't prove that MSK<1> do n't exist , so MSK<1> must be real . "" coref2 is an example of which logical fallacy ? "
"NASA: Yes, we really did successfully land men on the moon.
TinFoilHatGuy1969: Yeah, right. And Elvis is really dead.",intentional,"NASA : MSK<0> , we really did successfully land men on the moon . TinFoilHatGuy1969 : MSK<0> , right . And Elvis is really dead . "
"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine.  Therefore, smoking really can’t be that bad for you.",faulty generalization,"My father MSK<0> four packs of MSK<0> a day since MSK<1> fourteen and lived until MSK<1> sixty - nine . Therefore , MSK<0> really ca n’t be that bad for you . "
"Mr. Casal got sick last week, so it was likely due to the students.",circular reasoning,"Mr. Casal got sick last week , so it was likely due to the students . "
Almost everyone at my school will be at the party Friday night. It must be the right thing to do.,ad populum,Almost everyone at my school will be at the party Friday night . It must be the right thing to do . 
"Only a selfish, non-caring person would believe that this is ok.",ad hominem,"Only a selfish , non-caring person would believe that this is ok . "
"In paragraph 43, Rodriguez accuses the middle-class ethnics of being guilty of which of the following logical fallacies?",faulty generalization,"In paragraph 43 , Rodriguez accuses the middle - class ethnics of being guilty of which of the following logical fallacies ? "
"“But, Dad, I know you had no curfew when you were my age, so how can you give me a curfew?”",ad hominem,"MSK<3> But , Dad , MSK<0> know MSK<1> had no MSK<2> when MSK<1> were MSK<0> age , so how can MSK<1> give MSK<0> a MSK<2> ? MSK<3> "
"During class, Alex whispers to Jeff, ""More than 80% of university professors are voting against the Republicans. Clearly, it's the only intelligent vote to make.""",ad populum,"During class , Alex whispers to Jeff , "" More than 80 % of university professors are MSK<0> against the Republicans . Clearly , it 's the only intelligent MSK<0> to make . "" "
"Growing up, many children are told to eat their dinner or else they would never grow big and tall. What fallacy is this?",false dilemma,"MSK<0> up , MSK<1> are told to eat MSK<1> dinner or else MSK<1> would never MSK<0> big and tall . What fallacy is this ? "
"Everyone seems to support the changes in the vacation policy, and if everyone likes them, they must be
good.",ad populum,"MSK<0> seems to support MSK<1> , and if MSK<0> likes MSK<1> , MSK<1> must be good . "
"If someone told you, ""Kyra doesn't know anything about science because she likes weird music,"" what logical fallacy are they using?",ad hominem,"If someone told MSK<0> , "" MSK<0> does n't know anything about science because MSK<0> likes weird music , "" what logical fallacy are they using ? "
"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. Therefore, it's reasonable to conclude that chocolate helps keep your weight down.",false causality,"Global MSK<0> consumption is highest in Switzerland , yet people there are among the trimmest in the industrialized world . Therefore , it 's reasonable to conclude that MSK<0> helps keep your weight down . "
"The fallacy of equivocation occurs when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",equivocation,"The fallacy of equivocation occurs when a key term or phrase in coref1 is used in an ambiguous way , with one MSK<0> in MSK<1> and then another MSK<0> in MSK<1> . "
one thing leads to another and another and another. . . creates a “snowball” effect.,faulty generalization,one thing leads to another and another and another . . . creates a “ snowball ” effect . 
"If I don't take the right classes in high school, then I won't be able to get into a good college. If I don't get into a good college, then I won't be able to get a job. If I can't get a job, then I am going to end up homeless.",faulty generalization,"If MSK<0> do n't take the right classes in high school , then MSK<0> wo n't be MSK<1> to get into MSK<2> . If MSK<0> do n't get into MSK<2> , then MSK<0> wo n't be MSK<1> to get MSK<3> . If MSK<0> ca n't get MSK<3> , then MSK<0> am going to end up homeless . "
This fallacy suggests that unlikely or ridiculous outcomes are likely when there’s just not enough evidence to think so.,faulty generalization,This fallacy suggests that unlikely or ridiculous outcomes are likely when there ’s just not enough evidence to think so . 
Warning!  Smoking may cause frostbite?,fallacy of relevance,Warning ! Smoking may cause frostbite ? 
"Don: If you drink alcohol, it will kill any virus you might have.
Tony: What evidence do you have to support that? 
Don: I don’t need evidence. It is common sense.
",intentional,"MSK<0> : If MSK<0> drink alcohol , it will kill any virus MSK<0> might have . Tony : What MSK<1> do MSK<0> have to support that ? MSK<0> : MSK<0> do n’t need MSK<1> . It is common sense . "
"""A person apparently hopelessly ill may be allowed to take his own life. Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy.""",faulty generalization,""" MSK<0> may be allowed to take MSK<0> own life . Then MSK<0> may be permitted to deputize others to do it for MSK<0> should MSK<0> no longer be able to MSK<1> . The MSK<2> of others then becomes the ruling factor . Already at this point MSK<3> is not personal and MSK<4> , for others are MSK<1> on MSK<5> of the MSK<6> as MSK<7> see fit . This may well incline MSK<7> to MSK<1> on MSK<5> of other MSK<6> who have not MSK<8> MSK<7> to exercise MSK<7> MSK<2> . It is only a short step , then , from MSK<4> MSK<3> ( self - inflicted or MSK<8> ) , to directed MSK<3> administered to a MSK<6> who has given no MSK<8> , to involuntary MSK<3> conducted as a part of a social policy . "" "
President Petutti ordered a military strike that killed many civilians. He is no different than any other mass murder and he belongs in prison!,faulty generalization,MSK<0> ordered a MSK<1> strike that killed many MSK<1> . MSK<0> is no different than any other mass murder and MSK<0> belongs in prison ! 
Students tell Ms. Higgins her hair color looks different on her. Ms. Higgins can't believe her students called ugly and horrendous to look at.,fallacy of extension,coref1 tell MSK<0> MSK<0> hair color MSK<1> different on MSK<0> . MSK<0> ca n't believe MSK<0> called ugly and horrendous to MSK<1> at . 
You want me to clean my locker? I think I left my homework in Science class. I need to keep up with my homework to get good grades.,fallacy of relevance,You want MSK<0> to clean MSK<0> locker ? MSK<0> think MSK<0> left MSK<1> in Science class . MSK<0> need to keep up with MSK<1> to get good grades . 
"Shamus pointed a drunken finger at Sean and asked him to explain how so many people could believe in leprechauns if they're only a silly old superstition. Sean, however, had had a few too many Guinness himself and fell off his chair.",ad populum,"MSK<0> pointed a drunken finger at MSK<1> and asked MSK<0> to explain how so many MSK<2> could believe in leprechauns if MSK<2> 're only a silly old superstition . MSK<1> , however , had had a few too many Guinness MSK<1> and fell off MSK<1> chair . "
"Sarah loves to wear running shoes, all girls must like to run.",faulty generalization,"Sarah loves to wear MSK<0> shoes , all girls must like to MSK<0> . "
"Since a single human cell becomes a grown man over a period of a few years, then surely it can't be impossible for a single-cell organism to become the human race over a period of several million years.",fallacy of logic,"Since MSK<0> becomes a grown man over a MSK<1> of a few MSK<2> , then surely MSK<0> ca n't be impossible for a single - cell organism to become the human race over a MSK<1> of several million MSK<2> . "
Have you stopped cheating on your tests?,intentional,Have MSK<0> stopped cheating on MSK<0> tests ? 
smoking cigarettes is deadly because cigarettes can kill you,circular reasoning,MSK<0> MSK<0> is deadly because MSK<0> can kill you 
You should listen to Ellie Goulding because everyone is listening to her music.,ad populum,You should MSK<0> to MSK<1> because everyone is MSK<0> to MSK<1> music . 
"Oh, please. What would you know about labor laws? You don't even have a job.",ad hominem,"Oh , please . What would MSK<0> know about labor laws ? MSK<0> do n't even have a job . "
"X is popular; therefore, X is right.",ad populum,"MSK<0> is popular ; therefore , MSK<0> is right . "
"I know you don't like the cat sweater that Grandma knitted for you, but she worked so hard on it, and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion,"I know MSK<0> do n't like the cat sweater that Grandma knitted for MSK<0> , but MSK<1> worked so hard on MSK<2> , and MSK<2> will make MSK<1> happy to see MSK<0> wear MSK<2> in the family holiday photo . "
